timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
80241451,0.0059998073,0,0,0,0,0,0,0,0,0
80750962,0.18433933,0,0,0,0,0,0,0,0,0
81262226,0.39369357,0,0,0,0,0,0,0,0,0
81768947,0.55511516,0,0,0,0,0,0,0,0,0
82275978,0.6951215,0,0,0,0,0,0,0,0,0
82783262,0.82939625,0,0,0,0,0,0,0,0,0
83288890,0.98335826,0,0,0,0,0,0,0,0,0
83795981,1.0939392,0,0,0,0,0,0,0,0,0
84303008,1.129356,0,0,0,0,0,0,0,0,0
84811998,1.2212486,0,0,0,0,0,0,0,0,0
85320034,1.304058,0,0,0,0,0,0,0,0,0
85825925,1.079452,0,0,0,0,0,0,0,0,0
86334011,0.44175008,0,0,0,0,0,0,0,0,0
86839972,-0.25985467,0,0,0,0,0,0,0,0,0
87347290,-0.9437908,0,0,0,0,0,0,0,0,0
87567351,-1.0790318,0,0,0,0,0,0,0,0,0
87667356,-1.1631311,0,0,0,0,0,0,0,0,0
88172874,-1.5897906,0,0,0,0,0,0,0,0,0
88217176,-1.5897906,0,0,0,0,0,0,0,0,0
88327566,-1.6601965,0,0,0,0,0,0,0,0,0
88833873,-2.4559646,0,0,0,0,0,0,0,0,0
89340924,-3.2201173,0,0,0,0,0,0,0,0,0
89848386,-3.5341506,0,0,0,0,0,0,0,0,0
90354935,-3.9134724,0,0,0,0,0,0,0,0,0
90860929,-4.0974436,0,0,0,0,0,0,0,0,0
91368591,-4.385361,0,0,0,0,0,0,0,0,0
91875976,-4.653604,0,0,0,0,0,0,0,0,0
92382873,-4.7488785,0,0,0,0,0,0,0,0,0
92890211,-4.9466667,0,0,0,0,0,0,0,0,0
93397435,-5.0265894,0,0,0,0,0,0,0,0,0
93903324,-5.2515903,0,0,0,0,0,0,0,0,0
94408913,-5.4611554,0,0,0,0,0,0,0,0,0
94916296,-5.4923115,0,0,0,0,0,0,0,0,0
95424462,-6.024161,0,0,0,0,0,0,0,0,0
95930865,-6.1220307,0,0,0,0,0,0,0,0,0
96436934,-6.0037727,0,0,0,0,0,0,0,0,0
96947374,-6.120741,0,0,0,0,0,0,0,0,0
97453047,-6.2964253,0,0,0,0,0,0,0,0,0
97960896,-6.258887,0,0,0,0,0,0,0,0,0
98466965,-6.3189816,0,0,0,0,0,0,0,0,0
98976070,-6.3372726,0,0,0,0,0,0,0,0,0
99483338,-6.237003,0,0,0,0,0,0,0,0,0
99990874,-6.259788,0,0,0,0,0,0,0,0,0
100501240,-6.380881,0,0,0,0,0,0,0,0,0
100613138,-6.3686113,0,0,0,0,0,0,0,0,0
100723246,-6.318505,0,0,0,0,0,0,0,0,0
101230875,-6.3418202,0,0,0,0,0,0,0,0,0
101738873,-6.2254663,0,0,0,0,0,0,0,0,0
102246139,-6.1367273,0,0,0,0,0,0,0,0,0
102753874,-6.1511555,0,0,0,0,0,0,0,0,0
103262120,-6.180289,0,0,0,0,0,0,0,0,0
103770343,-6.1548944,0,0,0,0,0,0,0,0,0
104275996,-6.0961466,0,0,0,0,0,0,0,0,0
104783934,-5.933956,0,0,0,0,0,0,0,0,0
105289985,-6.042371,0,0,0,0,0,0,0,0,0
105796924,-5.999846,0,0,0,0,0,0,0,0,0
106302873,-6.1013703,0,0,0,0,0,0,0,0,0
106812259,-6.3252544,0,0,0,0,0,0,0,0,0
106823574,-6.3252544,0,0,0,0,0,0,0,0,0
106922089,-6.3134623,0,0,0,0,0,0,0,0,0
107032446,-6.233389,0,0,0,0,0,0,0,0,0
107425058,-5.232039,0,0,0,0,0,0,0,0,0
107527234,-4.841016,0,1,0,0,0,0,0,0,0
