timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
83200526,83095061,171798694487,0.00017080424,0.004479367,0.012515026,0,0.33299926,0.25271115,0.0,0.022791961,0.02686163,0.030990336,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,72.27334,58.358376,0.45399442,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
83400080,83294493,171798694487,0.00011904303,0.0036251014,0.011471485,0,0.3330591,0.25267133,0.0,0.013823805,0.02588933,0.03413921,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.33519,58.358376,0.45779154,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
83599933,83493951,171798694487,0.00011417939,0.003620712,0.010811038,0,0.33304662,0.2526192,0.0,0.028052332,0.02566242,0.028447168,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.41692,58.358376,0.45542,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
83799246,83693521,171798694487,0.00015844069,0.0024939876,0.004533976,0,0.33310962,0.25260523,0.0,0.03166523,0.024119606,0.049602337,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.97344,58.358376,0.45540228,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
83998580,83892939,171798694487,0.00019442079,0.003061235,0.006943124,0,0.33308682,0.2525595,0.0,0.026765967,0.025037814,0.043285165,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.214386,58.358376,0.4582429,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
84197781,84092396,171798694487,6.0467464e-05,0.004328579,0.008835578,0,0.3330679,0.25252256,0.0,0.03440342,0.0258337,0.038879067,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,72.22226,58.358376,0.44978407,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
84397427,84291832,171798694487,0.00013760442,0.0021626926,0.005835385,0,0.33304638,0.25248405,0.0,0.015480687,0.024644066,0.035743076,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.51084,58.358376,0.45367995,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
84596806,84491298,171798694487,0.00042485484,0.0042486074,0.006591424,0,0.33304584,0.25245428,0.0,0.05046854,0.024784358,0.034991324,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.6391,58.358376,0.4549307,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
84796538,84690776,171798694487,0.0001175329,0.0012933956,0.0038275677,0,0.33304578,0.25244087,0.0,0.021152718,0.024649391,0.031175325,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,70.976265,58.358376,0.45634034,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
84997111,84890181,171798694487,8.009415e-05,0.0031999676,0.0063083945,0,0.33303735,0.2524284,0.0,0.029419355,0.02652831,0.030725867,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.56654,58.358376,0.4554589,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
85195191,85089652,171798694487,0.00016813837,0.0017583346,0.0029343355,0,0.33305424,0.25242403,0.0,0.029919876,0.02460005,0.023228763,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,71.646515,58.358376,0.4551515,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
85394721,85289159,171798694487,0.00017080853,0.0039997064,0.006344593,0,0.3330719,0.2524246,0.0,0.035737112,0.025820537,0.03055129,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,72.2075,58.358376,0.44907948,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
85594477,85488572,171799743191,0.00039505545,0.007309843,0.012930474,0,0.33302715,0.25240865,0.0,0.03148981,0.029803688,0.071520634,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,73.95638,58.358376,0.42425853,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
85793528,85688046,171799743191,6.897701e-05,0.0039643054,0.0084419595,0,0.3330533,0.25242743,0.0,0.042422354,0.030533615,0.04421345,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,75.54567,58.358376,0.43518105,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
85992998,85887481,171799743191,3.1498896e-06,0.00440248,0.009321849,0,0.333079,0.25309944,0.0,0.018972423,0.030098615,0.051650412,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,72.46078,58.358376,0.40575796,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
86192460,86086966,171799743191,0.00041043715,0.011634888,0.021475848,0,0.33312628,0.25312522,0.0,0.058326676,0.028053489,0.0478914,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,70.27935,58.358376,0.38963762,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
86402441,86296955,171799743191,0.0019743596,0.016027525,0.033708762,0,0.33398637,0.25299355,0.0,0.046807386,0.02882819,0.08336803,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,72.67834,58.358376,0.38479242,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
86602081,86496391,171799743191,0.0030267546,0.016670365,0.033312034,0,0.33383417,0.2529645,0.0,0.061875314,0.030074112,0.09295796,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,72.831154,58.358376,0.44675562,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
86801329,86695849,171799743191,0.0047697877,0.01771573,0.03249953,0,0.33372116,0.25361508,0.0,0.053357497,0.030095326,0.06306432,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,73.76067,58.358376,0.4214903,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
87000817,86895320,171799743191,0.0031145818,0.014597822,0.026157035,0,0.33354434,0.2536094,0.0,0.03541367,0.028393172,0.044665612,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,75.755486,58.358376,0.45768514,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
87200910,87094743,171799743191,0.0023459292,0.0141740665,0.028612066,0,0.3334144,0.25361478,0.0,0.059440956,0.030311557,0.038511302,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,74.92814,58.358376,0.4917389,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
87400176,87294245,171799743191,0.0013963698,0.0050213095,0.016487202,0,0.33322066,0.25363615,0.0,0.05521335,0.026198767,0.04742329,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,76.73828,58.358376,0.47413376,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
