timestamp,timestamp_sample,device_id,pressure,temperature,error_count
81295855,81295838,3997706,101814.0,38.86,0
82301783,82301771,3997706,101813.0,38.87,0
83307906,83307885,3997706,101814.0,38.87,0
84313944,84313931,3997706,101817.0,38.87,0
85309901,85309889,3997706,101802.0,38.879997,0
86305999,86305987,3997706,101824.0,38.87,0
87311947,87311934,3997706,101798.0,38.87,0
88297912,88297900,3997706,101807.0,38.87,0
89303873,89303860,3997706,101774.0,38.87,0
90309965,90309953,3997706,101706.0,38.85,0
91305991,91305978,3997706,101681.0,38.86,0
92311990,92311977,3997706,101669.0,38.899998,0
93308008,93307995,3997706,101680.0,38.93,0
94314030,94314018,3997706,101691.0,38.95,0
95299933,95299920,3997706,101700.0,38.96,0
96306068,96306055,3997706,101717.0,38.969997,0
97312081,97312069,3997706,101720.0,38.989998,0
98308122,98308110,3997706,101727.0,39.01,0
99314129,99314117,3997706,101736.0,39.03,0
100310183,100310171,3997706,101745.0,39.04,0
101296087,101296075,3997706,101761.0,39.05,0
102302129,102302117,3997706,101759.0,39.07,0
103308139,103308126,3997706,101776.0,39.079998,0
104314240,104314228,3997706,101776.0,39.1,0
105310231,105310220,3997706,101783.0,39.11,0
106306246,106306229,3997706,101789.0,39.12,0
107312290,107312277,3997706,101808.0,39.12,0
