timestamp,load,ram_usage
80131736,0.40653348,0.38935763
80631840,0.546826,0.38940707
81131940,0.52119213,0.38940707
81631714,0.5160918,0.38940707
82131734,0.5027356,0.38940707
82631756,0.5080575,0.38940707
83131979,0.5021848,0.38940707
83631738,0.5094886,0.38940707
84131751,0.50188696,0.38940707
84631760,0.50880814,0.38940707
85131741,0.5031569,0.38940707
85632068,0.5084908,0.38940707
86132046,0.50353384,0.38940707
86631735,0.50673914,0.38940707
87132035,0.5034646,0.38940707
87631974,0.5074494,0.38940707
88132212,0.5027317,0.38940707
88632027,0.5075269,0.38940707
89131849,0.50450027,0.38965425
89632024,0.5094903,0.38965425
90131736,0.503846,0.38965425
90632333,0.5111548,0.38965425
91131980,0.50366306,0.38965425
91631733,0.5091026,0.38965425
92131804,0.50048894,0.38965425
92631733,0.512349,0.38965425
93132535,0.5043273,0.38965425
93631858,0.5094099,0.38965425
94131849,0.50324357,0.38965425
94631734,0.51071954,0.38965425
95131733,0.5030712,0.38965425
95631751,0.5059165,0.38965425
96131734,0.50371915,0.38965425
96631713,0.50919396,0.38965425
97131990,0.50115985,0.38965425
97631961,0.5094404,0.38965425
98131734,0.5037856,0.38965425
98631853,0.5112501,0.38965425
99131734,0.501667,0.38965425
99631969,0.50912046,0.38965425
100131713,0.50280786,0.38965425
100631795,0.5112254,0.38965425
101132019,0.5039988,0.38965425
101631734,0.50972193,0.38965425
102131990,0.50514805,0.38965425
102631764,0.5084579,0.38965425
103131762,0.505021,0.38965425
103631832,0.5070772,0.38965425
104131733,0.5052377,0.38965425
104632233,0.5080136,0.38965425
105131756,0.5045249,0.38965425
105631783,0.5091647,0.38965425
106131771,0.50341594,0.38965425
106632164,0.50820214,0.38965425
107486522,0.5760556,0.38965425
107631736,0.5306589,0.38965425
