timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
80399195,32767,32767,32767,32767,32767,32767
80404107,32767,32767,32767,32767,32767,32767
80409547,32767,32767,32767,-12,5,32767
80414118,32767,32767,32767,32767,32767,32767
80419070,32767,32767,32767,-7,32767,32767
80424069,32767,32767,32767,32767,32767,32767
80429403,32767,32767,32767,32767,32767,32767
80434195,32767,32767,32767,32767,32767,32767
80439069,32767,32767,32767,32767,32767,32767
80509195,32767,32767,32767,32767,32767,32767
80514070,32767,32767,32767,32767,32767,32767
80519488,32767,32767,32767,4,32767,32767
80524069,32767,32767,32767,32767,32767,32767
80529070,32767,32767,32767,32767,32767,32767
80534070,32767,32767,32767,32767,-21,32767
80539212,32767,32767,32767,32767,32767,32767
80544456,32767,32767,32767,32767,32767,32767
80549069,32767,32767,32767,32767,32767,32767
80554068,32767,32767,32767,32767,32767,32767
80559070,32767,32767,32767,32767,32767,32767
80564459,32767,32767,32767,32767,32767,32767
80569193,32767,32767,32767,32767,32767,32767
80574068,32767,32767,32767,32767,32767,32767
80579069,32767,32767,32767,32767,32767,32767
80584193,32767,32767,32767,32767,-22,32767
80589194,32767,32767,32767,32767,32767,32767
80594092,32767,32767,32767,32767,32767,32767
80599070,32767,32767,32767,32767,32767,32767
80604106,32767,32767,32767,32767,32767,32767
80609478,32767,32767,32767,16,32767,32767
80614234,32767,32767,32767,32767,32767,32767
80619194,32767,32767,32767,32767,32767,32767
80624068,32767,32767,32767,-26,32767,32767
80629240,32767,32767,32767,32767,32767,32767
80634194,32767,32767,32767,32767,32767,32767
80639194,32767,32767,32767,32767,32767,32767
80644195,32767,32767,32767,32767,32767,32767
80649067,32767,32767,32767,32767,32767,32767
80654524,32767,32767,32767,32767,32767,32767
80659069,32767,32767,32767,32767,32767,32767
80664069,32767,32767,32767,32767,32767,32767
80669194,32767,32767,32767,32767,-2,32767
80674390,32767,32767,32767,32767,32767,32767
80679194,32767,32767,32767,32767,32767,32767
80684074,32767,32767,32767,32767,32767,32767
80689069,32767,32767,32767,32767,32767,32767
80694245,32767,32767,32767,32767,32767,32767
80699514,32767,32767,32767,29,32767,32767
80704099,32767,32767,32767,32767,32767,32767
80709068,32767,32767,32767,32767,32767,32767
80714068,32767,32767,32767,32767,32767,32767
80719309,32767,32767,32767,35,-7,32767
80724194,32767,32767,32767,32767,32767,32767
80729194,32767,32767,32767,32767,32767,32767
80734069,32767,32767,32767,32767,32767,32767
80739294,32767,32767,32767,32767,32767,32767
80744540,32767,32767,32767,32767,32767,32767
80749194,32767,32767,32767,32767,32767,32767
80754193,32767,32767,32767,32767,32767,32767
80759069,32767,32767,32767,32767,32767,32767
80764309,32767,32767,32767,32767,32767,32767
80769108,32767,32767,32767,32767,32767,32767
80774068,32767,32767,32767,32767,32767,32767
80779069,32767,32767,32767,32767,32767,32767
80784159,32767,32767,32767,32767,32767,32767
80789614,32767,32767,32767,32767,32767,32767
80794069,32767,32767,32767,32767,32767,32767
80799069,32767,32767,32767,32767,32767,32767
80804240,32767,32767,32767,32767,32767,32767
80809479,32767,32767,32767,32767,-35,32767
80814193,32767,32767,32767,-3,32767,32767
80819069,32767,32767,32767,32767,32767,32767
80824069,32767,32767,32767,0,32767,32767
80829293,32767,32767,32767,32767,32767,32767
80834193,32767,32767,32767,32767,32767,32767
80839194,32767,32767,32767,32767,32767,32767
80844068,32767,32767,32767,32767,32767,32767
80849243,32767,32767,32767,32767,32767,32767
80854517,32767,32767,32767,32767,23,32767
80859194,32767,32767,32767,32767,32767,32767
80864195,32767,32767,32767,32767,32767,32767
80869071,32767,32767,32767,32767,32767,32767
80874266,32767,32767,32767,32767,32767,32767
80879198,32767,32767,32767,32767,32767,32767
80884194,32767,32767,32767,32767,32767,32767
80889094,32767,32767,32767,32767,32767,32767
80894089,32767,32767,32767,32767,32767,32767
80899544,32767,32767,32767,32767,32767,32767
80904069,32767,32767,32767,32767,32767,32767
80909069,32767,32767,32767,-40,32767,32767
80914068,32767,32767,32767,32767,32767,32767
80919216,32767,32767,32767,32767,32767,32767
80924194,32767,32767,32767,32767,32767,32767
