timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
80397721,-0.072769865,-0.013806529,0.00056386465,0.0,0.0,-0.001,0
80403110,-0.07217678,-0.014445209,-0.00021140094,0.0,0.0,-0.001,0
80418981,-0.0718461,-0.014656934,0.00041740877,0.0,0.0,-0.001,0
80440129,-0.072029494,-0.015370878,2.0385218e-05,0.0,0.0,-0.001,0
80519716,-0.07199625,-0.014179975,0.00036791933,0.0,0.0,-0.001,0
80540778,-0.07195113,-0.012934209,-0.00061997527,0.0,0.0,-0.001,0
80561985,-0.07227731,-0.010806752,0.00027361757,0.0,0.0,-0.001,0
80577871,-0.07176988,-0.014480499,0.00060556346,0.0,0.0,-0.001,0
80599045,-0.070985265,-0.0137261115,0.0002626443,0.0,0.0,-0.001,0
80620295,-0.07193768,-0.013549698,-5.2191182e-05,0.0,0.0,-0.001,0
80641555,-0.071781136,-0.013455402,-0.0005381376,0.0,0.0,-0.001,0
80657403,-0.07154258,-0.013592223,9.596318e-05,0.0,0.0,-0.001,0
80678629,-0.07242115,-0.013893133,0.00045795616,0.0,0.0,-0.001,0
80699742,-0.07129981,-0.013648748,-0.0006267693,0.0,0.0,-0.001,0
80720961,-0.07036874,-0.011911302,-0.0005921972,0.0,0.0,-0.001,0
80742096,-0.07087612,-0.009755259,0.00029703748,0.0,0.0,-0.001,0
80757917,-0.070532314,-0.011760856,0.0015333976,0.0,0.0,-0.001,0
80779186,-0.0702247,-0.010087497,-0.00084807473,0.0,0.0,-0.001,0
80800337,-0.07160035,-0.009997045,-0.00089716737,0.0,0.0,-0.001,0
80821536,-0.07152295,-0.010609507,0.0005175004,0.0,0.0,-0.001,0
80837410,-0.06998819,-0.009730344,-0.00014613787,0.0,0.0,-0.001,0
80858630,-0.070159815,-0.009719636,-0.0014849709,0.0,0.0,-0.001,0
80879854,-0.07217327,-0.009795353,0.00043449516,0.0,0.0,-0.001,0
80900968,-0.07219738,-0.011212365,6.140448e-05,0.0,0.0,-0.001,0
80922251,-0.07024667,-0.012640753,-0.00013787912,0.0,0.0,-0.001,0
80938130,-0.0723709,-0.009967347,-0.0001493833,0.0,0.0,-0.001,0
80959273,-0.0730509,-0.012302557,0.0013726102,0.0,0.0,-0.001,0
80980494,-0.07192907,-0.013277328,0.00038044347,0.0,0.0,-0.001,0
81001641,-0.07287238,-0.013918944,-0.0003341123,0.0,0.0,-0.001,0
81017555,-0.0730463,-0.010630398,-6.425044e-05,0.0,0.0,-0.001,0
81038682,-0.072613165,-0.013318053,0.0008228499,0.0,0.0,-0.001,0
81059910,-0.0722381,-0.013545048,-0.00054315146,0.0,0.0,-0.001,0
81081148,-0.0725754,-0.012536516,-0.00014921995,0.0,0.0,-0.001,0
81102380,-0.072210185,-0.009963341,0.000518538,0.0,0.0,-0.001,0
81118215,-0.071954064,-0.012735949,-0.00047708367,0.0,0.0,-0.001,0
81139367,-0.07087551,-0.01264291,0.00073795964,0.0,0.0,-0.001,0
81160542,-0.068941504,-0.009117128,0.0010498088,0.0,0.0,-0.001,0
81181734,-0.068419166,-0.0066528735,-0.0012644294,0.0,0.0,-0.001,0
81197661,-0.06664569,-0.012014399,0.00035710668,0.0,0.0,-0.001,0
81218815,-0.065530255,-0.006721777,-0.0003619529,0.0,0.0,-0.001,0
