timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
88365111,88258095,0.10066738,0.10089478,0.20803311,0.98705685,0.9870152,1.6241604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420327,0.0,0.0,0.0,0.0,0.0,0.0,0.108038515,0.002524624,0.002574504,0.002513388,1.0000807,1.0000783,1.0000007,0.0,0.0,0.0,0.0,0.0,0.0
88862723,88756067,0.104090475,0.10582633,0.20801958,0.9849246,0.9848683,1.6318524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025286486,0.0025805763,0.0025059422,1.0000795,1.0000765,1.0000002,0.0,0.0,0.0,0.0,0.0,0.0
89360695,89253963,0.10475054,0.105493866,0.20803213,0.9872459,0.98722196,1.6467412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003272725,0.003241717,0.0032167248,1.0000699,1.0000688,1.0000008,0.0,0.0,0.0,0.0,0.0,0.0
89858637,89751922,0.10358668,0.102269135,0.20805055,0.98725605,0.98723143,1.6674222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.419219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002753915,0.0027582091,0.0027414863,1.0000675,1.0000669,1.0000008,0.0,0.0,0.0,0.0,0.0,0.0
90356467,90249846,0.10267565,0.10091903,0.20804732,0.9829576,0.982901,1.700089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.417982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026548542,0.0026595271,0.0026465652,1.0000676,1.000066,1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
90865125,90758326,0.10090062,0.0999231,0.20805667,0.9848074,0.98474884,1.7267238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026132553,0.0026213888,0.0026058832,1.0000697,1.0000669,1.0000002,0.0,0.0,0.0,0.0,0.0,0.0
91362901,91256242,0.099820815,0.10059597,0.20807683,0.98276144,0.9827174,1.7525768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025939178,0.0025981462,0.0025786657,1.0000719,1.0000677,1.0000002,0.0,0.0,0.0,0.0,0.0,0.0
91860905,91754182,0.0997854,0.101085655,0.208078,0.96330345,0.9632812,1.7477188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025792401,0.002587781,0.0025662517,1.0000744,1.000068,1.0000012,0.0,0.0,0.0,0.0,0.0,0.0
92359140,92252092,0.09976357,0.10000182,0.20809075,0.9556873,0.95570076,1.7637148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.422507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025737684,0.0025948253,0.0025678715,1.0000771,1.0000703,1.0000005,0.0,0.0,0.0,0.0,0.0,0.0
92856713,92750072,0.09986765,0.09999406,0.20810075,0.95748997,0.95752174,1.784463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025737656,0.0025788078,0.0025464485,1.0000807,1.0000719,1.0000007,0.0,0.0,0.0,0.0,0.0,0.0
93365224,93258593,0.10005304,0.10010333,0.2081286,0.93446773,0.9344767,1.7877842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.422651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025754573,0.0025826355,0.0025433514,1.0000837,1.0000741,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93863233,93756479,0.10020337,0.10009262,0.20812353,0.89336675,0.89333606,1.761711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4215975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025900046,0.0025963055,0.0025486043,1.0000857,1.0000759,1.000001,0.0,0.0,0.0,0.0,0.0,0.0
94361155,94254440,0.10059096,0.10049231,0.20812577,0.87078977,0.8706882,1.7569666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025936617,0.0026246582,0.0025441856,1.0000874,1.0000765,1.0000017,0.0,0.0,0.0,0.0,0.0,0.0
94858997,94752302,0.10055146,0.10031885,0.20813319,0.864975,0.86487746,1.7599475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026107517,0.0026351167,0.0025367443,1.0000901,1.0000801,1.0000004,0.0,0.0,0.0,0.0,0.0,0.0
95357268,95250348,0.10248485,0.10246386,0.20813626,0.85384506,0.8537767,1.754183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.423136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026203794,0.002646384,0.0025319697,1.0000892,1.0000802,1.000001,0.0,0.0,0.0,0.0,0.0,0.0
95865831,95758757,0.10192342,0.10135949,0.20812173,0.8371587,0.8370895,1.759805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026283734,0.002647338,0.0025515722,1.0000889,1.0000771,1.0000032,0.0,0.0,0.0,0.0,0.0,0.0
