timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
80241442,1,0,1,0,0,0,0
80750954,1,0,1,0,0,0,0
81262217,1,0,1,0,0,0,0
81768938,1,0,1,0,0,0,0
82275970,1,0,1,0,0,0,0
82783253,1,0,1,0,0,0,0
83288881,1,0,1,0,0,0,0
83795972,1,0,1,0,0,0,0
84302998,1,0,1,0,0,0,0
84811989,1,0,1,0,0,0,0
85320025,1,0,1,0,0,0,0
85825916,1,0,1,0,0,0,0
86334003,1,0,1,0,0,0,0
86839967,1,0,1,0,0,0,0
87347281,1,0,1,0,0,0,0
87567342,1,0,1,0,0,0,0
87667346,1,0,1,0,0,0,0
88172865,1,0,1,0,0,0,0
88217163,1,0,1,0,0,0,0
88327557,1,0,1,0,0,0,0
88833864,1,0,1,0,0,0,0
89340916,1,0,1,0,0,0,0
89848379,1,0,1,0,0,0,0
90354927,1,0,1,0,0,0,0
90860920,1,0,1,0,0,0,0
91368583,1,0,1,0,0,0,0
91875967,1,0,1,0,0,0,0
92382864,1,0,1,0,0,0,0
92890202,1,0,1,0,0,0,0
93397428,1,0,1,0,0,0,0
93903315,1,0,1,0,0,0,0
94408904,1,0,1,0,0,0,0
94916287,1,0,1,0,0,0,0
95424453,1,0,1,0,0,0,0
95930858,1,0,1,0,0,0,0
96436923,1,0,1,0,0,0,0
96947368,1,0,1,0,0,0,0
97453037,1,0,1,0,0,0,0
97960887,1,0,1,0,0,0,0
98466927,1,0,1,0,0,0,0
98976061,1,0,1,0,0,0,0
99482936,1,0,1,0,0,0,0
99990865,1,0,1,0,0,0,0
100501231,1,0,1,0,0,0,0
100613129,1,0,1,0,0,0,0
100723237,1,0,1,0,0,0,0
101230866,1,0,1,0,0,0,0
101738864,1,0,1,0,0,0,0
102246131,1,0,1,0,0,0,0
102753866,1,0,1,0,0,0,0
103262111,1,0,1,0,0,0,0
103770336,1,0,1,0,0,0,0
104275987,1,0,1,0,0,0,0
104783926,1,0,1,0,0,0,0
105289865,1,0,1,0,0,0,0
105796915,1,0,1,0,0,0,0
106302864,1,0,1,0,0,0,0
106812251,1,0,1,0,0,0,0
106823566,0,0,1,0,0,0,0
106922079,0,0,0,0,0,0,0
107032439,0,0,1,0,0,0,0
107425050,0,0,0,0,0,0,0
107527225,0,0,0,0,0,0,0
