timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
98373693,98269068,-0.64186335,0.014882695,-0.6506961,-0.6116771,-0.5878732,-0.5192225,1.9372905,0.15689656,0.15899462,0.16238225,0.16934201,-0.060862705,-0.15833601,-0.15182728,-0.14957201,-0.1406726,0.07545124,0.0013823989,0.43247154,0.5646069,0.0015169764,2.2306724e-05,1
99369661,99269194,-0.65044403,0.014042898,-0.68607014,-0.66460276,-0.64355445,-0.5884704,1.9689764,0.10594384,0.106666856,0.10793958,0.11053865,0.020723162,-0.09942967,-0.096934125,-0.09613969,-0.092863016,-0.0033299625,0.0013400877,0.41703743,0.5799221,0.0016971711,3.170893e-06,1
100369639,100269193,-0.6267769,0.013382731,-0.69882804,-0.6797962,-0.660885,-0.6113562,1.8755292,0.005487889,0.004760802,0.003263712,-0.00030219555,-0.20173055,-0.3830483,-0.37986028,-0.37891006,-0.37503183,-0.4460681,0.0012632144,0.41148835,0.58539444,0.0018144756,3.9472125e-05,1
101369607,101269483,-0.5394964,0.012842412,-0.58078694,-0.54792696,-0.5298371,-0.47505957,1.7572594,-0.20830533,-0.2077317,-0.20654018,-0.20402461,-0.22044504,-0.0019035488,-0.0008984655,-0.0006132275,0.00068734586,0.08280344,0.0011972744,0.41108727,0.58583,0.0018816575,3.8831004e-06,1
102369687,102269307,-0.6301936,0.012087949,-0.66833735,-0.65231705,-0.6341731,-0.5879742,1.8674706,0.13804702,0.13794523,0.13766336,0.13689393,0.026270002,-0.16770063,-0.16583832,-0.16533998,-0.16313133,-0.16514982,0.0012052687,0.4229777,0.57410735,0.0016960413,1.3689651e-05,1
103369794,103269069,-0.6516156,0.011167523,-0.67284185,-0.657793,-0.64009625,-0.59533197,1.8260298,0.04327877,0.044656694,0.047953412,0.054692745,-0.059312284,-0.09215897,-0.088104025,-0.08699538,-0.08194342,0.1620912,0.0011042324,0.42626375,0.5708945,0.0017355474,2.0365735e-06,1
104369601,104269068,-0.60340583,0.01051695,-0.6364761,-0.6089332,-0.5925526,-0.5443117,1.5467203,0.27506933,0.27510005,0.27511382,0.27489445,0.08794102,-0.2515654,-0.2483499,-0.2476397,-0.24406438,-0.20580828,0.0010894021,0.42621735,0.57094175,0.0017171605,3.422218e-05,1
105373386,105269069,-0.6936543,0.009910772,-0.71697986,-0.7035156,-0.6891432,-0.6516694,1.6974728,0.28566158,0.28718716,0.2914666,0.30004033,0.09523157,-0.059990704,-0.053562753,-0.052180283,-0.044924144,0.3127848,0.0011080289,0.44086352,0.55650187,0.0015163728,1.023505e-05,1
106373655,106269096,-0.74938756,0.009010218,-0.7548923,-0.74283105,-0.7313532,-0.7003591,1.5680938,0.13557221,0.13784142,0.14509995,0.15974627,-0.0031018853,0.25062054,0.2587478,0.26027945,0.26910454,0.8645911,0.0011895705,0.44177192,0.5556353,0.0013933734,9.921165e-06,1
107369602,107269234,-0.9172349,0.010885037,-0.9717663,-0.9539913,-0.9333271,-0.88334423,1.2103235,0.11979395,0.119772345,0.11972079,0.119584695,0.09766285,0.13073045,0.13103044,0.13107885,0.13138029,0.1342229,0.0011240104,0.44969288,0.5473524,0.0013615168,0.00046926076,1
