timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
96400518,96400507,-1,-56.0,0,0,0,1497,1503,1000,1499,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
96890939,96890928,-1,-56.0,0,0,0,1499,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
97400398,97400387,-1,-56.0,0,0,0,1497,1503,1000,1499,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
97890447,97890435,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
98400359,98400348,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
98890097,98890086,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
99400331,99400320,-1,-56.0,0,0,0,1499,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
99894510,99890376,-1,-56.0,0,0,0,1497,1503,1000,1499,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
100400677,100400664,-1,-56.0,0,0,0,1497,1503,1000,1499,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
100890429,100890417,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
101400271,101400260,-1,-56.0,0,0,0,1499,1506,1000,1499,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
101890421,101890409,-1,-56.0,0,0,0,1497,1611,1000,1499,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
102400240,102400229,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
102890270,102890259,-1,-56.0,0,0,0,1499,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
103400398,103400387,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
103890659,103890602,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
104400247,104400236,-1,-56.0,0,0,0,1497,1505,1000,1496,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
104890415,104890404,-1,-56.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
105400497,105400486,-1,-56.0,0,0,0,1499,1503,1000,1496,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
105890243,105890232,-1,-56.0,0,0,0,1497,1503,1000,1496,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
106400429,106400418,-1,-56.0,0,0,0,1499,1503,1000,1496,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
106890192,106890181,-1,-56.0,0,0,0,1499,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
107400158,107400146,-1,-33.0,0,0,0,1497,1503,1000,1497,1988,1000,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
