timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
80293396,80287142,8944899,0.12488267,0.056369025,0.42961663,3
80410015,80356083,8944899,0.13885246,0.06175737,0.4278406,3
80531993,80493731,8944899,0.13906388,0.057535164,0.43127853,3
80581961,80562790,8944899,0.13197526,0.06435621,0.42909002,3
80668974,80631753,8944899,0.13398112,0.06029374,0.4335764,3
80718691,80700012,8944899,0.13976163,0.062226884,0.43137205,3
80805940,80768635,8944899,0.13854514,0.057796482,0.43021476,3
80856811,80838058,8944899,0.13396418,0.060309436,0.43133575,3
80945057,80906746,8944899,0.13550323,0.07179337,0.4304243,3
80993851,80975178,8944899,0.13890168,0.057218913,0.43501282,3
81081287,81043676,8944899,0.13885349,0.056908377,0.43188852,3
81131773,81113140,8944899,0.14076465,0.04894457,0.42589933,3
81218960,81181806,8944899,0.1340658,0.056597434,0.43302688,3
81268645,81250189,8944899,0.13247697,0.04031094,0.43376446,3
81356955,81319113,8944899,0.13726968,0.06417415,0.43276146,3
81406780,81388145,8944899,0.1427059,0.047670398,0.42921078,3
81493676,81456381,8944899,0.13045447,0.055702493,0.42923597,3
81543421,81524761,8944899,0.13801213,0.05389981,0.42978835,3
81632198,81593807,8944899,0.13967009,0.06003228,0.43387842,3
81681603,81663090,8944899,0.13013142,0.06864998,0.43193364,3
81768849,81731433,8944899,0.1395734,0.060604703,0.43176833,3
81818665,81799974,8944899,0.13419774,0.048076235,0.43398649,3
81906798,81868868,8944899,0.14054419,0.044929277,0.42932835,3
81956812,81938230,8944899,0.14979503,0.05763567,0.43431994,3
82043792,82006520,8944899,0.1306408,0.08260259,0.42997423,3
82093599,82074899,8944899,0.13794035,0.066245645,0.43214026,3
82181915,82143673,8944899,0.1318247,0.07655697,0.4301644,3
82231801,82213076,8944899,0.14137639,0.049101286,0.4287707,3
82319669,82281470,8944899,0.13506177,0.053978294,0.43094978,3
82368733,82349882,8944899,0.13992684,0.069462076,0.4337914,3
82456671,82419163,8944899,0.1369656,0.06494192,0.4297073,3
82506491,82487762,8944899,0.13458067,0.061688803,0.43281424,3
82593618,82556217,8944899,0.13907279,0.06260387,0.4295219,3
82644628,82624996,8944899,0.14070556,0.05717852,0.432692,3
82731440,82694166,8944899,0.12822141,0.079407185,0.4327448,3
82781919,82762828,8944899,0.13986608,0.056619648,0.43234152,3
82869830,82831335,8944899,0.1366797,0.057196148,0.43330082,3
82919973,82900770,8944899,0.13566577,0.065835536,0.43074667,3
83006487,82969011,8944899,0.13624592,0.07214092,0.43066898,3
83056043,83037384,8944899,0.12977147,0.05958903,0.43095177,3
83144439,83106480,8944899,0.13947424,0.06648971,0.43194184,3
83194226,83175547,8944899,0.13924833,0.059562147,0.43058732,3
83281235,83244152,8944899,0.13539532,0.0666937,0.43219575,3
83331065,83312306,8944899,0.13765928,0.05007515,0.4305541,3
83419300,83381440,8944899,0.13449901,0.05705716,0.43204588,3
83468985,83450376,8944899,0.13428488,0.06577075,0.4301734,3
83556225,83518737,8944899,0.13453858,0.06633484,0.4308251,3
83606002,83587377,8944899,0.1404718,0.06798895,0.43030635,3
83694565,83656705,8944899,0.1383451,0.04702277,0.4313244,3
83744996,83725595,8944899,0.13664797,0.048182715,0.43254477,3
83831969,83794036,8944899,0.13265036,0.057595048,0.43158638,3
83880988,83862352,8944899,0.13881683,0.062783286,0.43217438,3
83969696,83931568,8944899,0.1291302,0.06404209,0.42745164,3
84019168,84000552,8944899,0.13794126,0.0751739,0.43210047,3
84106577,84068943,8944899,0.13321951,0.049929675,0.42669111,3
84156334,84137300,8944899,0.14709209,0.06601676,0.4329053,3
84244447,84206532,8944899,0.13550645,0.07738072,0.4326984,3
84293863,84275194,8944899,0.13563135,0.06039232,0.4286985,3
84382064,84343815,8944899,0.13759537,0.04781624,0.4325817,3
84430814,84412248,8944899,0.13997169,0.06084875,0.4320426,3
84520125,84481853,8944899,0.13863441,0.053216297,0.43001217,3
84568836,84550066,8944899,0.14293258,0.06871894,0.43485564,3
84655817,84618522,8944899,0.13520026,0.069134966,0.4342053,3
84706635,84688097,8944899,0.14570625,0.04963115,0.42959625,3
84793839,84756437,8944899,0.14381437,0.05615501,0.43393236,3
84843502,84824860,8944899,0.1434857,0.054346982,0.4332998,3
84931643,84893891,8944899,0.1357226,0.06118353,0.4304402,3
84981623,84963276,8944899,0.13380982,0.05909747,0.4319555,3
85068628,85031336,8944899,0.13624041,0.058469843,0.4303286,3
85119677,85099969,8944899,0.14373517,0.06500642,0.43185872,3
85206719,85169320,8944899,0.13284412,0.061456054,0.43233383,3
85256449,85237753,8944899,0.12588629,0.06693221,0.42584634,3
85343420,85306081,8944899,0.13436583,0.051082615,0.40380156,3
85394838,85375206,8944899,0.1374369,0.043887753,0.43183798,3
85481362,85444178,8944899,0.11469278,0.031845223,0.4072183,3
85531176,85512537,8944899,0.13380247,0.010042274,0.43129823,3
85618307,85580954,8944899,0.08455337,0.09922866,0.39631835,3
85669165,85650522,8944899,0.110612616,0.022514768,0.42028618,3
85756375,85718927,8944899,0.13420796,0.079434894,0.40462393,3
85806209,85787672,8944899,0.09306814,0.07145119,0.3745523,3
85894265,85856301,8944899,0.10866078,0.0537747,0.3872217,3
85944217,85925754,8944899,0.11656704,0.059227977,0.42728812,3
86031286,85993996,8944899,0.10055264,0.06263011,0.39072806,3
86080967,86062357,8944899,0.101799294,0.03805797,0.3741737,3
86169665,86131378,8944899,0.080257975,0.08093887,0.3940453,3
86219725,86200781,8944899,0.11969964,-0.02376222,0.43620658,3
86306166,86268898,8944899,0.10101758,0.034351565,0.3697034,3
86356022,86337330,8944899,0.081805944,0.11648535,0.36797792,3
86444959,86406409,8944899,0.10931614,0.04583725,0.39930812,3
86493869,86475238,8944899,0.108127475,0.043460116,0.43128905,3
86581353,86543743,8944899,0.10627381,0.11238307,0.3895683,3
86630822,86612279,8944899,0.1289725,0.033450782,0.3445085,3
86718924,86681706,8944899,0.11084063,0.07379398,0.3999036,3
86768840,86750214,8944899,0.116136625,0.07995813,0.46077305,3
86855819,86818554,8944899,0.1369167,0.023814436,0.39607513,3
86906745,86888137,8944899,0.10875068,0.075010255,0.43820366,3
86993927,86956670,8944899,0.109950766,0.041510038,0.45147887,3
87043674,87025007,8944899,0.09981374,0.0055766325,0.40113655,3
87131907,87093784,8944899,0.10144648,0.09030102,0.47261134,3
87181905,87162738,8944899,0.11025146,0.05920649,0.45213535,3
87268697,87231480,8944899,0.10557945,0.051273126,0.4593766,3
87318442,87299765,8944899,0.09640943,0.07607674,0.48713404,3
87406718,87368787,8944899,0.13264348,0.043389067,0.46623647,3
87456425,87437801,8944899,0.11118734,0.09324768,0.49781096,3
87544150,87506202,8944899,0.12822507,0.05711002,0.49402863,3
87593288,87574736,8944899,0.12204381,0.025867028,0.47439137,3
87681468,87644230,8944899,0.11454649,0.07488257,0.5159509,3
87731241,87712585,8944899,0.13988836,0.060918044,0.4493693,3
87818383,87781026,8944899,0.14154388,0.07090772,0.51136327,3
87869283,87850318,8944899,0.14527726,0.048196316,0.50288653,3
