timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
84900650,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-0.13931248,0.0
84996276,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-0.139005,0.0
85101979,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-0.13945234,0.0
85197320,nan,nan,nan,-0.022675004,-0.0071140574,2.3553772,0.2884714,0.07287733,9.475171,0.00029829884,7.536006e-05,-0.010140448,-0.1385027,0.0
85292610,nan,nan,nan,-0.0040519806,-0.0012712688,2.182007,0.09564993,0.06461399,9.29877,0.00015146952,0.00010232155,-0.0155368205,-0.1385027,0.0
85398601,-1.4206171,0.20259412,nan,-0.0001491487,0.0006997503,1.9895741,0.010936152,-0.08260788,8.655058,3.929822e-05,-0.000296845,-0.03522893,-0.1385027,0.0
85493911,-1.4206171,0.20259412,nan,0.0051896274,0.0016352563,1.8162749,0.12669538,0.23007938,8.738616,0.00042206224,0.00076646695,-0.032672763,-0.1385027,0.0
85599961,-1.4206171,0.20259412,nan,0.010960674,0.0006825365,1.6237622,0.03380116,-0.022689141,8.160914,0.00017379274,-0.00011665895,-0.050345514,-0.1385027,0.0
85695231,-1.4206171,0.20259412,nan,0.014760626,-0.0027305281,1.4505104,0.031711318,-0.1484722,7.784946,0.00019993316,-0.0009360859,-0.061846945,-0.1385027,0.0
85801152,-1.4206171,0.20259412,nan,0.023162216,-0.00565055,1.2580576,0.1868101,-0.1929472,7.312695,0.0014532511,-0.0015009935,-0.076293804,-0.1385027,0.0
85896698,-1.4206171,0.20259412,nan,0.03090549,-0.01047008,1.0847965,0.34966743,0.2598695,6.896414,0.0031743085,0.002359116,-0.08902846,-0.1385027,0.0
86002465,-1.4206171,0.20259412,nan,0.041058023,-0.015186724,0.8922204,0.17591487,-0.24430707,6.487854,0.0018211155,-0.0025291292,-0.101526916,-0.1385027,0.0
86098113,-1.4206171,0.20259412,nan,0.050579417,-0.017816573,0.7189772,0.20489581,0.35385746,6.4154725,0.0021675178,0.0037433289,-0.10374118,-0.1385027,0.0
86192995,-1.4206171,0.20259412,nan,0.061540995,-0.019011902,0.54577243,0.13079429,-0.21880794,5.376297,0.0018077054,-0.0030241408,-0.1355311,-0.1385027,0.0
86299044,-1.4206171,0.20259412,nan,0.076863565,-0.021850469,0.4780533,0.35631868,0.38434076,4.9778547,0.0053674034,0.0057895132,-0.14772004,-0.1385027,0.0
86394479,-1.4206171,0.20259412,nan,0.09550262,-0.025774824,0.60918444,0.3660689,-0.41734967,5.502574,0.0049150223,-0.0056035426,-0.13166809,-0.1385027,0.0
86500236,-1.4206171,0.20259412,nan,0.122818686,-0.028218182,0.69527674,0.50683385,0.5086952,6.51276,0.0052077807,0.0052269064,-0.100765,-0.1385027,0.0
86595672,-1.4206171,0.20259412,nan,0.14874475,-0.028461935,0.7,0.4751368,-0.033973753,6.3307467,0.005151946,-0.0003683801,-0.10633306,-0.1385027,0.0
86701625,-1.4206171,0.20259412,nan,0.17476423,-0.029055232,0.7,0.5650375,0.27957666,6.285861,0.006205846,0.0030706096,-0.10770618,-0.1385027,0.0
86797057,-1.4206171,0.20259412,nan,0.20058472,-0.03293246,0.7,0.6591027,0.052087624,6.4092145,0.0069851223,0.00055202085,-0.10393262,-0.1385027,0.0
86902794,-1.4206171,0.20259412,nan,0.2293436,-0.032965712,0.7,0.32480147,0.069583915,7.0289745,0.0028143413,0.0006029311,-0.08497324,-0.14699787,0.0
86998599,-1.4206171,0.20259412,nan,0.2521996,-0.03804287,0.7,0.7700318,-0.19940022,6.4637885,0.0080299,-0.0020793474,-0.102263115,-0.15113766,0.0
87093568,-1.4206171,0.20259412,nan,0.27652067,-0.04171655,0.7,0.7266482,-0.024671555,7.370441,0.0055222837,-0.00018749559,-0.07452727,-0.15222657,0.0
87200189,-1.4206171,0.20259412,nan,0.30447808,-0.052870963,0.7,0.89572275,-0.0146881975,7.2859917,0.0070430976,-0.00011549378,-0.0771107,-0.1526896,0.0
