timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
80869954,80769108,0.100231305,0.100227885,0.20783904,0.9984345,0.9984343,1.5423225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418221,0.0,0.0,0.0,0.0,0.0,0.0,0.11147142,0.0025129882,0.0025605876,0.0025044018,1.0000762,1.000076,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81369749,81269194,0.10023738,0.10023889,0.20783097,1.0004263,1.0004265,1.5322931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.419235,0.0,0.0,0.0,0.0,0.0,0.0,0.11150228,0.0025130864,0.0025618405,0.0025043767,1.0000757,1.0000757,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81869597,81769570,0.100230165,0.10023069,0.20782486,1.0023873,1.0023868,1.5370076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.417531,0.0,0.0,0.0,0.0,0.0,0.0,0.111534946,0.002513156,0.002562794,0.0025043283,1.0000762,1.0000762,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82373326,82269069,0.10023773,0.10023787,0.20781922,1.0063534,1.0063531,1.5436724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.419074,0.0,0.0,0.0,0.0,0.0,0.0,0.11156503,0.0025132918,0.0025638533,0.0025043,1.0000758,1.0000757,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82869683,82769230,0.10023148,0.10023405,0.2078275,1.0083419,1.0083413,1.5514029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41751,0.0,0.0,0.0,0.0,0.0,0.0,0.11160366,0.0025133481,0.002564896,0.0025042559,1.0000762,1.0000762,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83373574,83269068,0.10024214,0.10025051,0.2078249,1.0103943,1.010394,1.5565798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.416035,0.0,0.0,0.0,0.0,0.0,0.0,0.11163664,0.0025134222,0.0025659092,0.0025042342,1.0000758,1.0000757,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83869663,83769069,0.10023991,0.100239106,0.20782153,1.0104231,1.0104227,1.5614325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418033,0.0,0.0,0.0,0.0,0.0,0.0,0.11167027,0.0025134282,0.0025668002,0.0025041888,1.0000762,1.0000762,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84369631,84269194,0.10024922,0.10025554,0.20781913,1.0104942,1.0104942,1.563378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.416175,0.0,0.0,0.0,0.0,0.0,0.0,0.111704335,0.002513575,0.0025677956,0.0025041676,1.0000758,1.0000757,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84879636,84779449,0.10025976,0.10025594,0.20781699,1.0124891,1.012489,1.5711875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418213,0.0,0.0,0.0,0.0,0.0,0.0,0.11174326,0.0025136208,0.0025689236,0.0025041264,1.0000763,1.0000762,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85369602,85269194,0.100271866,0.10026798,0.20781478,1.0145054,1.0145056,1.5780542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.419015,0.0,0.0,0.0,0.0,0.0,0.0,0.11177879,0.002513723,0.0025700664,0.002504115,1.0000758,1.0000758,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85873398,85769194,0.100284435,0.1002879,0.20781162,1.0164797,1.0164783,1.5858815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.417588,0.0,0.0,0.0,0.0,0.0,0.0,0.111836396,0.0025138226,0.0025725816,0.0025053811,1.0000762,1.0000762,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86369898,86269286,0.10030158,0.10063611,0.20782337,1.0126616,1.0126681,1.592788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418952,0.0,0.0,0.0,0.0,0.0,0.0,0.11203639,0.002513398,0.002577534,0.0025070638,1.0000768,1.0000757,1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
86873660,86769069,0.10062615,0.10069272,0.2078202,1.0009009,1.0009035,1.5859652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.417842,0.0,0.0,0.0,0.0,0.0,0.0,0.11218982,0.0025168515,0.0025919664,0.0025121667,1.0000781,1.0000758,1.0000007,0.0,0.0,0.0,0.0,0.0,0.0
87379619,87279068,0.10055536,0.10036659,0.20781872,0.99297756,0.99297184,1.5980599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4164505,0.0,0.0,0.0,0.0,0.0,0.0,0.112319246,0.0025153207,0.0025884977,0.0025051823,1.0000788,1.0000757,1.0000004,0.0,0.0,0.0,0.0,0.0,0.0
87869660,87769068,0.10040626,0.10035077,0.20781504,0.99089193,0.990883,1.610783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418518,0.0,0.0,0.0,0.0,0.0,0.0,0.10802183,0.0025182615,0.0025782902,0.0025072836,1.0000787,1.0000764,1.0000007,0.0,0.0,0.0,0.0,0.0,0.0
88369615,88269230,0.10043964,0.100621656,0.20783465,0.9869132,0.9868874,1.6236036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.419401,0.0,0.0,0.0,0.0,0.0,0.0,0.10799082,0.0025224264,0.002570686,0.0025136329,1.0000781,1.0000759,1.0000007,0.0,0.0,0.0,0.0,0.0,0.0
88869595,88769226,0.10371454,0.10577798,0.20783141,0.98499286,0.98496985,1.6314843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002519668,0.0025717565,0.002505882,1.0000771,1.0000741,1.0000002,0.0,0.0,0.0,0.0,0.0,0.0
89373312,89269087,0.10449136,0.10549815,0.20783563,0.9871796,0.98718333,1.6462687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032672866,0.0032451851,0.003217584,1.0000678,1.000067,1.0000007,0.0,0.0,0.0,0.0,0.0,0.0
