timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
101844448,101844230,2490402,2490402,-0.010300028,-0.0013077182,-0.001335494,-0.005177493,-0.020257516,-0.08761637,5162,5162,0,0,1,1
102344411,102344194,2490402,2490402,0.014350277,-0.0002807358,0.00016161558,-0.007890413,-0.032426663,-0.0298334,4787,4787,0,0,1,1
102844383,102844069,2490402,2490402,-0.00035780418,0.009746399,-0.00030164915,0.020441357,-0.02379956,-0.023765543,5001,5001,0,0,1,1
103344402,103344219,2490402,2490402,-9.017071e-05,0.0091044335,0.0013750537,0.009483461,-0.0105668735,-0.032708228,4961,4961,0,0,1,1
103844440,103844098,2490402,2490402,0.008708732,-0.0011766677,-0.00014803647,-0.0111721475,-0.016361138,-0.13754949,4905,4905,0,0,1,1
104339380,104339068,2490402,2490402,-0.006998197,-0.00014029653,0.0010479111,-0.007882422,0.014589311,-0.039901923,4875,4875,0,0,1,1
104844403,104844193,2490402,2490402,0.007876661,0.004164294,0.0022560358,-0.017523149,0.008227897,-0.052072603,4999,4999,0,0,1,1
105339386,105339193,2490402,2490402,0.015077955,0.006200792,-0.00012700894,0.01736396,-0.023521207,-0.014537583,4999,4999,0,0,1,1
105844440,105844068,2490402,2490402,-0.0060831383,-0.009521807,-0.0029100957,-0.005454703,-0.045671154,-0.05806438,4874,4874,0,0,1,1
106344380,106344068,2490402,2490402,-0.015714616,0.0041854093,7.727768e-05,-0.011644297,0.033602893,0.013153847,5000,5000,0,0,1,1
106844424,106844216,2490402,2490402,-0.0071663028,0.004736795,-0.00086236506,-0.0051725036,-0.0055351085,0.015946513,4955,4955,0,0,1,1
107344422,107344070,2490402,2490402,-0.013350897,0.0055898,0.002150706,0.282477,0.26025385,0.06606729,5001,5001,0,0,1,1
