timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
80838327,80838020,2424842,2424842,-6.655927e-05,-8.970997e-05,8.664425e-06,-0.014963699,-0.005022038,-0.04886669,5291,5291,0,0,1,1
81342208,81341900,2424842,2424842,-7.517072e-05,-5.5762786e-05,-0.00020108643,0.007460125,0.008254929,-0.057544984,5240,5240,0,0,1,1
81840877,81840569,2424842,2424842,-9.0305104e-05,2.234313e-05,-0.00025394847,0.0059304396,0.01693707,-0.054917946,5276,5276,0,0,1,1
82339737,82339197,2424842,2424842,-5.0921895e-05,8.427278e-05,0.0003596761,0.0030797757,0.0016963461,-0.048326183,5240,5240,0,0,1,1
82843574,82843121,2424842,2424842,-4.9930363e-06,8.184821e-05,3.9587787e-05,-0.0051688743,-0.0030936666,-0.04897169,5288,5288,0,0,1,1
83342089,83341776,2424842,2424842,-9.1081274e-05,5.994404e-05,6.049244e-05,0.0026766472,0.0028986323,-0.052653275,5238,5238,0,0,1,1
83841354,83840418,2424842,2424842,8.2255436e-05,2.9172617e-05,9.2370814e-05,-0.002383247,-0.00083386136,-0.054341648,5240,5240,0,0,1,1
84339651,84339029,2424842,2424842,-6.5952495e-06,9.171621e-05,0.0001003729,0.004274328,0.0044879485,-0.05837535,5238,5238,0,0,1,1
84843250,84842912,2424842,2424842,0.00013376783,3.3538297e-05,1.3787842e-05,-0.001626768,-0.0057178116,-0.053171072,5237,5237,0,0,1,1
85341907,85341591,2424842,2424842,0.00076408335,-0.0030633644,-0.00068080885,-0.016925111,0.004522754,-0.03961163,5239,5239,0,0,1,1
85840529,85840217,2424842,2424842,-0.0077701905,-0.00019075719,-0.00080705574,-0.009107997,-0.031391885,-0.016144691,5239,5239,0,0,1,1
86339211,86338870,2424842,2424842,0.008961031,0.0046293475,0.0014426936,0.02031118,0.03442687,-0.076125495,5240,5240,0,0,1,1
86843126,86842786,2424842,2424842,0.0015412754,-0.0062108682,0.0012836381,-0.019386552,0.01704117,-0.13625875,5189,5189,0,0,1,1
87341742,87341409,2424842,2424842,-0.012232759,-0.0035068032,-0.0007460962,0.012122883,-0.016332457,-0.038456853,5239,5239,0,0,1,1
87840408,87840107,2424842,2424842,-0.0065642083,0.00041108593,-0.0014354344,-0.001028735,-0.021860769,-0.021879751,5240,5240,0,0,1,1
88339020,88338709,2424842,2424842,-0.00032225333,-0.0012929509,-0.00035929764,0.0003967292,0.08860781,-0.03808085,5236,5236,0,0,1,1
88842970,88842663,2424842,2424842,0.0020935826,-0.00012465398,-0.0001585476,-0.04439175,-0.008186253,-0.17606968,5238,5238,0,0,1,1
89341634,89341310,2424842,2424842,0.007933522,0.004726771,0.00036447312,0.03554073,-0.02246295,-0.036323234,5239,5239,0,0,1,1
89840242,89839938,2424842,2424842,-0.014237192,-0.0001967823,-0.00033970887,0.006310438,0.021851202,-0.02177552,5240,5240,0,0,1,1
90338979,90338603,2424842,2424842,0.01598117,-0.0032294856,-0.0012890996,-0.030838285,0.011201954,-0.051260162,5239,5239,0,0,1,1
90842793,90842492,2424842,2424842,-0.01615441,-0.00031961754,-0.00042507402,-0.0117370505,0.030314807,-0.0319175,5240,5240,0,0,1,1
91342041,91341144,2424842,2424842,0.009725862,0.0013287631,0.0011789169,0.018407198,0.011381219,-0.013968142,5170,5170,0,0,1,1
91840207,91839838,2424842,2424842,0.0030083128,-0.0056753545,-1.8359286e-05,0.016256759,-0.023477653,-0.11691046,5240,5240,0,0,1,1
92338845,92338540,2424842,2424842,0.0060569663,0.0015600702,0.00024010944,0.0570645,-0.03581248,-0.008378661,5357,5357,0,0,1,1
92842668,92842381,2424842,2424842,-0.009740213,-0.00020730706,0.00026569367,-0.0027347559,-0.00300284,-0.055157002,5238,5238,0,0,1,1
93341336,93341042,2424842,2424842,0.010725198,-0.0011024491,0.00022991771,0.011799691,0.0035420796,-0.055185433,5290,5290,0,0,1,1
93839953,93839607,2424842,2424842,0.009979227,0.00095311896,-0.00022803909,-0.017817145,0.003290482,-0.057686698,5239,5239,0,0,1,1
94338638,94338335,2424842,2424842,-0.008404391,-0.0039466503,0.00024375018,0.013739038,-0.011852107,-0.021394813,5240,5240,0,0,1,1
94842533,94842229,2424842,2424842,0.014401867,0.0006383231,-0.0002579185,-0.00920527,0.032197427,-0.048665874,5238,5238,0,0,1,1
95341243,95340938,2424842,2424842,0.011562033,0.0032278956,-0.0010114906,-0.014035834,-0.03655621,-0.058319926,5373,5373,0,0,1,1
