timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
80401509,80401175,-0.00048568143,-0.0295048,-0.00028089384
80402838,80402508,-0.009639093,-0.009272164,-0.0021789027
80404168,80403840,-0.021887867,0.019639494,0.00035106365
80405504,80405173,-0.020871866,0.035300594,0.0013232958
80406834,80406506,-0.008468801,0.025112934,-0.00018937768
80408217,80407884,0.0013650631,-0.0016422155,-0.00029120414
80409485,80409153,-0.00036819436,-0.0241348,0.0024768184
80410935,80410606,-0.008935959,-0.029066589,0.00443243
80412183,80411842,-0.010516167,-0.021160841,0.0022889366
80413450,80413121,-0.008705361,0.0012046602,-0.0018096792
80414763,80414432,-0.009390726,0.024275864,-0.0017620049
80416091,80415765,-0.014025196,0.029010074,0.0019603043
80417422,80417098,-0.016264018,0.007986356,0.0047833584
80418761,80418431,-0.011543616,-0.018224873,0.002974576
80420095,80419765,-0.002305797,-0.031015983,0.001524832
80421336,80421008,0.004028757,-0.024970787,0.0031369936
80422672,80422340,-0.0031351317,-0.0051200106,0.0037578214
80424013,80423686,-0.019941833,0.015526692,0.0002962194
80425345,80425006,-0.032907024,0.022828577,-0.0025982845
80426665,80426339,-0.029875576,0.0124778,0.000877512
80428002,80427672,-0.015266836,-0.01039954,0.005935914
80429335,80429007,-0.006260288,-0.029687995,0.0049757534
80430664,80430338,-0.0070878016,-0.032262076,-0.00031616873
80432012,80431671,-0.009671126,-0.013851394,-0.0028473202
80433246,80432921,-0.008222559,0.018367402,-0.00022838936
80434641,80434315,-0.0024190398,0.035863835,0.0003724581
80435915,80435587,-0.002826421,0.025133865,-0.00434249
80437273,80436945,-0.009051728,-0.006632742,-0.004469427
80438581,80438253,-0.012911276,-0.029946323,0.0011322522
80439920,80439587,-0.013617833,-0.03156283,0.0038188405
80441268,80440940,-0.01456648,-0.0172921,0.00026350003
80504798,80504467,-0.015980795,0.02616241,0.0027623305
80506127,80505800,-0.011945013,0.0030805073,0.0016517135
80507469,80507141,-0.006763211,-0.025616203,-0.0011312994
80508794,80508466,-0.0054272483,-0.034052204,-0.001843762
80510151,80509823,-0.009671972,-0.01536018,-0.001800596
80511402,80511068,-0.018412523,0.018397365,-0.0054054777
80512729,80512399,-0.022558501,0.041440766,-0.008221216
80514059,80513732,-0.014418652,0.041732855,-0.006858278
80515395,80515068,-0.0032887077,0.01289745,-0.0019532354
80516728,80516398,-0.00086520036,-0.027939364,0.0033334997
80518081,80517731,-0.010276867,-0.05482735,0.0036618344
80519421,80519067,-0.019257184,-0.052534077,0.0022177827
80520755,80520402,-0.01645997,-0.017396184,0.0026276982
80522161,80521830,-0.008600031,0.029426612,0.0024799
80523429,80523098,-0.0067644906,0.049111478,-0.0009836678
80524694,80524340,-0.019798731,0.031215858,-0.004433154
80526024,80525673,-0.029011121,-0.008925234,-0.0020085862
80527352,80527020,-0.020854972,-0.04571903,0.0018049777
80528691,80528354,-0.0076322695,-0.054207433,0.0008740049
80529951,80529596,-0.0044760574,-0.028874302,-0.0013258473
80531307,80530929,-0.012287948,0.010952227,-0.0007715923
80532609,80532284,-0.018741988,0.040402908,-0.00057334214
80533942,80533615,-0.015152908,0.04157062,-0.0032429502
80535275,80534950,-0.0057080355,0.017404344,-0.005080292
80536610,80536284,-0.0023154032,-0.018886482,-0.0034425508
80537920,80537594,-0.0037967686,-0.048887603,-0.0008314582
80539273,80538945,-0.004502439,-0.04643759,-0.00334899
80540521,80540191,-0.0036650677,-0.010029467,-0.009745571
80541853,80541524,-1.6846923e-07,0.031022485,-0.01237168
80543179,80542852,0.00020798542,0.04963993,-0.00864719
80544516,80544186,-0.0051460755,0.03911368,-0.0041353386
80545888,80545562,-0.012305958,-0.0023917463,-0.0021441802
80547187,80546852,-0.013647448,-0.045585435,0.000104327126
80548509,80548185,-0.008993857,-0.057654243,0.0032258246
80549862,80549534,-0.008312083,-0.029123468,0.0023208417
80551198,80550864,-0.016621904,0.018922534,-0.003129874
80552442,80552114,-0.026054185,0.049316876,-0.0076009515
80553772,80553445,-0.02559739,0.042828668,-0.006905234
80555112,80554778,-0.014526113,0.009933689,-0.0033813962
80556443,80556116,-0.008802819,-0.027598746,-0.0019936485
80557805,80557473,-0.012931932,-0.049930915,-0.0011315625
80559109,80558778,-0.01949908,-0.03881893,0.0018359231
80560483,80560156,-0.017286636,-0.00029449697,0.004323255
80561726,80561398,-0.008903471,0.037823945,0.0032702421
80563068,80562731,0.0021057772,0.0443272,0.00093786273
80564391,80564064,0.004920116,0.017982768,0.00048598237
80565726,80565397,-0.006321839,-0.019836234,0.0027577677
80567170,80566840,-0.02017781,-0.04351285,0.0036875233
80568426,80568093,-0.019346595,-0.040886946,0.0033718788
80569660,80569332,0.0007558405,-0.011517215,0.003085758
80571011,80570678,0.013731818,0.0243515,0.0015066148
80572338,80572002,0.0015945317,0.039433327,0.00056116417
80573662,80573334,-0.024909457,0.026020017,0.003235651
80575002,80574667,-0.036628213,-0.006913106,0.008788205
80576332,80576004,-0.023383895,-0.035236515,0.010816207
80577658,80577333,-0.0050915075,-0.04099562,0.006476495
80578993,80578666,-0.0035180836,-0.021087464,0.0011705816
80580326,80579999,-0.01727206,0.01215635,-0.00039213692
80581568,80581241,-0.027960554,0.03638296,4.3948556e-05
80582902,80582574,-0.022850998,0.035539296,-0.00084577914
80584255,80583927,-0.01146558,0.012287864,-0.0011628718
80585567,80585240,-0.006846895,-0.018827422,0.0018640343
80586916,80586574,-0.008300329,-0.03842621,0.0048070545
80588251,80587925,-0.006602093,-0.037569996,0.0044996343
80589638,80589309,0.006429359,-0.016852574,0.002994608
80591010,80590678,0.019720698,0.01269216,0.003157299
80592258,80591929,0.015268843,0.03156785,0.0046202852
80593499,80593170,-0.008873683,0.02618449,0.0040592803
80594833,80594505,-0.031626802,0.0034601092,0.0034772046
80596163,80595837,-0.030981915,-0.018572597,0.0028347396
80597506,80597172,-0.013011613,-0.029245196,0.0021662118
80600167,80599837,-0.0054342267,-0.0004742695,-0.0020269773
80601498,80601168,-0.029889893,0.013974787,-0.0013205776
80602835,80602502,-0.043226685,0.016853772,0.0035453842
80604161,80603835,-0.032120828,0.009359765,0.008465414
80605404,80605077,-0.008587461,-0.0006354619,0.009194059
80606735,80606410,0.0031220173,-0.0094013335,0.0051674554
80608073,80607743,-0.0044939606,-0.012811828,0.0020152282
80609405,80609076,-0.015971731,-0.010585592,0.0011716521
80610736,80610409,-0.020755656,-0.0029552695,0.00021097703
80612144,80611806,-0.014987074,0.0029030151,-0.0020210238
80613410,80613083,-0.0101235,0.0066124666,-0.004211221
80614715,80614391,-0.004687537,0.006613236,-0.0018387092
80616050,80615723,0.0035618774,0.0023440996,0.00265269
80617381,80617057,0.012407772,-0.008591459,0.0039596963
80618717,80618390,0.0130903395,-0.018002452,0.0010293322
80620052,80619724,0.001120644,-0.016074019,-0.00065548625
80621313,80620985,-0.016409898,-0.003229311,0.0016886225
80622650,80622323,-0.028241543,0.0068464424,0.0020110293
80623963,80623633,-0.02982582,0.010097636,-0.002024734
80625291,80624966,-0.01961542,0.003065486,-0.004765488
80626662,80626326,-0.009197868,-0.0048621856,-0.004625615
80627966,80627632,-0.007343346,-0.0050802273,-0.0049063805
80629292,80628965,-0.0082960045,-0.0047022626,-0.00603109
80630655,80630324,-0.011627995,-0.002953352,-0.0047790366
80631910,80631567,-0.015420099,0.0026052361,-0.000489796
80633228,80632900,-0.016718242,0.004327115,0.00140578
80634674,80634315,-0.011775848,-0.0016953236,-0.0006776551
80635910,80635581,-0.0034768272,-0.009502669,-0.0012845362
80637223,80636889,0.0026785077,-0.010199521,0.0007712778
80638579,80638222,0.0015357345,-0.007489725,-0.0008423892
80639916,80639556,-0.0033911844,-0.008888838,-0.0057012048
80641251,80640894,-0.0050353883,-0.005229973,-0.007816224
80642583,80642223,-0.0006073743,0.0097068325,-0.006913806
80643888,80643554,0.0037320137,0.019197028,-0.005901012
80645215,80644887,0.0067626983,0.0091537805,-0.0039786077
80646482,80646129,0.0035768559,-0.007468342,-0.0002807162
80647822,80647462,-0.008024638,-0.019528296,0.0039024453
80649121,80648795,-0.024447354,-0.018970713,0.0058488874
80650458,80650128,-0.03324233,-0.005688283,0.0048218095
80651795,80651461,-0.035577916,0.017587123,0.0046166335
80653125,80652797,-0.033378296,0.031317286,0.006736856
80654458,80654127,-0.027745044,0.021067465,0.0057547777
80655909,80655547,-0.017315743,-0.003988658,0.0017903388
