timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
79412682,39158858,2,2621474,3997730,2621474,8944899,0.044405315,0.03990997,0.043269485,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
80419252,39158858,2,2621474,3997730,2621474,8944899,0.037651632,0.039357394,0.03423555,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
81425893,39158858,2,2621474,3997730,2621474,8944899,0.03583584,0.03171322,0.03564296,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
82432101,39158858,2,2621474,3997730,2621474,8944899,0.036430426,0.032345243,0.036953893,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
83438558,39158858,2,2621474,3997730,2621474,8944899,0.032476056,0.02843297,0.033626884,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
84445068,39158858,2,2621474,3997730,2621474,8944899,0.031219376,0.027298639,0.03291401,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
85451418,39158858,2,2621474,3997730,2621474,8944899,0.054963075,0.051256184,0.05723913,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
86457841,39158858,2,2621474,3997730,2621474,8944899,0.044576768,0.055460468,0.037817787,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.00926603,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
87464475,39158858,2,2621474,3997730,2621474,8944899,0.032024264,0.031007312,0.04070606,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
88470844,39158858,2,2621474,3997730,2621474,8944899,0.054270007,0.049955837,0.055809144,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.078231305,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
89477278,39158858,2,2621474,3997730,2621474,8944899,0.076937966,0.08752701,0.085912935,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.010380031,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
90483926,39158858,2,2621474,3997730,2621474,8944899,0.06435669,0.06715812,0.057871137,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.00027600696,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
91490158,39158858,2,2621474,3997730,2621474,8944899,0.04774245,0.06572885,0.06654734,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.017803736,0.0,0.007315014,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
92496811,39158858,2,2621474,3997730,2621474,8944899,0.054241527,0.04841292,0.05337926,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
93503097,39158858,2,2621474,3997730,2621474,8944899,0.06888373,0.06512583,0.06583194,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0045451266,0.0005420927,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
94509810,39158858,2,2621474,3997730,2621474,8944899,0.09125237,0.10016015,0.094010465,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.011884544,0.0,0.0006257548,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
95516238,39158858,2,2621474,3997730,2621474,8944899,0.046824235,0.043741226,0.039452754,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.018633451,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
96522380,39158858,2,2621474,3997730,2621474,8944899,0.09015033,0.07977414,0.08319038,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
97528864,39158858,2,2621474,3997730,2621474,8944899,0.07295975,0.084892124,0.07182545,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
98535261,39158858,2,2621474,3997730,2621474,8944899,0.14158794,0.10563252,0.1203567,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
99541753,39158858,2,2621474,3997730,2621474,8944899,0.058950342,0.058819544,0.050844073,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
100548225,39158858,2,2621474,3997730,2621474,8944899,0.14611438,0.12251327,0.12819245,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
101554965,39158858,2,2621474,3997730,2621474,8944899,0.05144861,0.045921735,0.081729054,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
102561377,39158858,2,2621474,3997730,2621474,8944899,0.08969234,0.08244453,0.07949943,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.03625571,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
