timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
80540509,80540191,-0.010367286,0.02991751,0.048606966,-1.875677,1.2659259,6.1992764
80541841,80541524,-0.017985871,-0.033090062,0.061238423,-2.6982067,-9.333035,6.7989264
80543168,80542852,-0.021236468,-0.072106875,0.042615976,-2.6050615,-13.58801,2.1680644
80544505,80544186,-0.015709862,-0.07033195,0.020056717,-1.0967048,-10.168006,-1.965294
80545877,80545562,-0.0056250654,-0.016799519,0.010100926,0.78568256,0.9905143,-3.1416724
80547175,80546852,-0.002533071,0.051715687,-0.00096885837,1.0800349,11.981007,-4.303302
80548497,80548185,-0.008523892,0.08357547,-0.016576346,-0.17162122,14.4109535,-5.898807
80549850,80549534,-0.009953866,0.05479438,-0.012051431,-0.32738078,6.3397503,-3.7660935
80551187,80550864,0.0024452666,-0.013212757,0.015202147,1.8226033,-6.2752266,1.576828
80552430,80552114,0.019037016,-0.06731475,0.03768774,4.1379952,-13.649854,4.855239
80553759,80553445,0.022914946,-0.07192999,0.034209155,3.7918336,-11.256355,3.1266937
80555099,80554778,0.009707159,-0.032750823,0.016589966,0.76179725,-2.2503211,-0.43821874
80556432,80556116,0.0013614186,0.023287347,0.009651227,-0.72868025,7.458582,-1.438541
80557794,80557473,0.006815439,0.06567367,0.0053623677,0.37811506,12.680969,-1.8488916
80559098,80558778,0.017439777,0.06214616,-0.009475061,2.035948,9.15335,-3.9068885
80560471,80560156,0.016290348,0.012103334,-0.02191172,1.3559376,-1.1859865,-5.048777
80561715,80561398,0.004818947,-0.048768304,-0.016646655,-0.86488044,-10.848552,-3.0357974
80563051,80562731,-0.0132602025,-0.070096835,-0.004415696,-3.6527812,-11.811229,-0.36330813
80564379,80564064,-0.021742571,-0.041778237,-0.0021562944,-4.1667757,-4.4456816,0.024587177
80565715,80565397,-0.008870181,0.012448398,-0.01351522,-1.0630765,5.4493203,-1.8594279
80567157,80566840,0.011645544,0.05541539,-0.018164,2.5297942,11.193177,-2.1673813
80568413,80568093,0.013328792,0.0625775,-0.01635311,2.136676,9.785039,-1.4043792
80569648,80569332,-0.015469322,0.02745211,-0.014922507,-3.1242304,1.7513976,-0.84199595
80570998,80570678,-0.03920706,-0.026775816,-0.007026791,-6.262669,-7.493444,0.65647286
80572327,80572002,-0.027269324,-0.05857561,-0.0022995379,-2.8137937,-10.93073,1.2482212
80573650,80573334,0.011338353,-0.04882682,-0.016172184,4.1576853,-6.784528,-1.3783479
80574991,80574667,0.03433379,-0.0048131854,-0.043934952,6.9141645,1.9924982,-5.6357427
80576320,80576004,0.021167915,0.041606255,-0.054074965,3.1576858,9.112662,-5.9562817
80577647,80577333,-0.0041850302,0.060463935,-0.032376405,-1.6721293,10.08948,-1.0130897
80578981,80578666,-0.008844265,0.03971237,-0.0052473443,-1.9735863,4.319511,3.623286
80580314,80579999,0.010357081,-0.007393223,0.002566248,1.6510057,-4.4064803,4.0398006
80581556,80581241,0.028816221,-0.049892236,0.0003858207,4.2908792,-10.357065,2.8069882
80582890,80582574,0.025531307,-0.059833053,0.004834459,2.75194,-9.578804,2.9423742
80584243,80583927,0.010335561,-0.033228848,0.0057423096,-0.35522845,-2.9944594,2.3996546
80585556,80585240,0.0027146314,0.012058411,-0.009392221,-1.5137439,5.11294,-0.64987993
80586903,80586574,0.0034809439,0.04806478,-0.024107322,-1.0675812,9.845551,-2.885605
