timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
80880527,80879996,39230940,33.6448665,-117.84206859999999,-1.2231461,0.21875429,1.8387073,0.0018472992,4.4952765e-05,3.7252903e-07,-0.034666415,0.012386574,0.019370131,0.03218906,0.02116495,-0.02306845,-0.02159992,-1.3890823,1.243884,0.44839275,-0.20187083,0.020086527,0.008195501,0.031629354,0.00015680112,26.370876,0.097762465,0.33880618,0.2557567,0.14103061,0.07354224,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
81384617,81383934,39230940,33.6448665,-117.84206859999999,-1.2345152,0.21585323,1.8527379,0.0018472992,4.4952765e-05,3.7252903e-07,-0.025101831,0.0014816977,0.0067950008,0.020121953,0.02116495,-0.02306845,-0.02159992,-1.4879373,-1.2712196,-0.8912112,-0.20167407,0.020108074,0.008112046,0.031629354,0.00015600157,26.370876,0.10485029,0.3309886,0.25199053,0.13675654,0.07270068,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
81877780,81877282,39230940,33.6448665,-117.84206859999999,-1.2562532,0.2162858,1.8682892,0.0018472992,4.4952765e-05,3.7252903e-07,-0.024935082,-0.0016865247,0.011799246,0.028134964,0.02116495,-0.02306845,-0.02159992,-1.8579024,-3.9397862,0.6016346,-0.20018964,0.020137114,0.009394667,0.031629354,0.00015672625,26.370876,0.101878405,0.33878928,0.2555058,0.1409418,0.0735154,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
82381672,82381192,39230940,33.6448665,-117.84206859999999,-1.2796113,0.20885272,1.8896158,0.0018472992,4.4952765e-05,3.7252903e-07,-0.03526392,0.0037227685,0.008037734,0.030313544,0.02116495,-0.02306845,-0.02159992,-0.15431592,-0.5914692,-1.6450791,-0.20151794,0.02016513,0.007847716,0.031629354,0.00015595584,26.370876,0.10471296,0.33110413,0.25196165,0.13666011,0.07269786,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
82885637,82885060,39230940,33.6448665,-117.84206859999999,-1.3035407,0.20429833,1.9100639,0.0018472992,4.4952765e-05,3.7252903e-07,-0.039713982,-0.002939288,0.009220845,0.034049828,0.02116495,-0.02306845,-0.02159992,-0.47107664,0.17051007,-0.031544853,-0.20141377,0.020198274,0.007730253,0.031629354,0.00015676739,26.370876,0.100942254,0.33983603,0.2555046,0.14136814,0.07354582,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
83378984,83378513,39230940,33.6448665,-117.84206859999999,-1.3296213,0.20342311,1.9381384,0.0018472992,4.4952765e-05,3.7252903e-07,-0.03491969,-0.0012848115,0.0106196385,0.04351728,0.02116495,-0.02306845,-0.02159992,1.3356335,0.26252347,-0.6074778,-0.20122346,0.020229409,0.0077446983,0.031629354,0.00015592769,26.370876,0.10984194,0.33137047,0.2516777,0.13665444,0.07264569,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
83882899,83882398,39230940,33.6448665,-117.84206859999999,-1.3557047,0.20231412,1.9658774,0.0018472992,4.4952765e-05,3.7252903e-07,-0.03459586,-0.0035876012,0.015276643,0.05078019,0.02116495,-0.02306845,-0.02159992,0.100455664,-0.28409106,-0.1930448,-0.20035261,0.020264456,0.008510316,0.031629354,0.00015674009,26.370876,0.10128605,0.34007782,0.2552974,0.14130647,0.073493354,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
84386858,84386319,39230940,33.6448665,-117.84206859999999,-1.3802531,0.20290677,1.9876355,0.0018472992,4.4952765e-05,3.7252903e-07,-0.030072577,-0.0014620902,0.006339904,0.039334044,0.02116495,-0.02306845,-0.02159992,0.79874635,0.89785564,-1.1415657,-0.20118466,0.020298986,0.007505052,0.031629354,0.00015593803,26.370876,0.103553176,0.332202,0.251987,0.13691904,0.07267259,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
84880369,84879704,39230940,33.6448665,-117.84206859999999,-1.4009507,0.20163469,2.0051024,0.0018472992,4.4952765e-05,3.7252903e-07,-0.031003356,-0.0082974825,0.0057781143,0.036477406,0.02116495,-0.02306845,-0.02159992,0.511831,-0.54022646,0.6661233,-0.19969355,0.020333894,0.008547447,0.031629354,0.00015666075,26.370876,0.09909773,0.3399965,0.25512576,0.14116071,0.073411174,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
85384035,85383560,39230940,33.6448665,-117.84206859999999,-1.418039,0.20139925,2.0117722,0.0018472992,4.4952765e-05,3.7252903e-07,-0.004816548,-0.037225466,0.024163553,0.05030271,0.02116495,-0.02306845,-0.02159992,-0.4292246,-4.381517,4.1659083,-0.19478689,0.020370921,0.013720358,0.031629354,0.00015586682,26.370876,0.10578656,0.3322267,0.25257894,0.13688831,0.072689004,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
85877568,85876994,39230940,33.6448665,-117.84206859999999,-1.4493369,0.21643811,2.01929,0.0018472992,4.4952765e-05,3.7252903e-07,-0.060273346,0.03937464,0.037001077,0.05854596,0.02116495,-0.02306845,-0.02159992,-0.24715641,0.7942764,-2.480961,-0.18600161,0.020442493,0.022398025,0.031629354,0.00015668935,26.370876,0.10458851,0.33998233,0.25577942,0.1411182,0.0734349,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
86381365,86380895,39230940,33.6448665,-117.84206859999999,-1.5171057,0.22931619,1.9999202,0.0018472992,4.4952765e-05,3.7252903e-07,-0.10187277,0.008795143,0.079335876,0.08243033,0.02116495,-0.02306845,-0.02159992,2.7129378,-9.543235,2.1612983,-0.14885989,0.02069402,0.06392697,0.031629354,0.00015709203,26.370876,0.12539756,0.33229345,0.2526563,0.13840628,0.07264417,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
86885335,86884749,39230940,33.6448665,-117.84206859999999,-1.6544313,0.24002793,1.9757214,0.0018472992,4.4952765e-05,3.7252903e-07,-0.15988967,-0.1522087,-0.1491086,-0.16645734,0.02116495,-0.02306845,-0.02159992,4.8425107,7.0074253,2.0821457,-0.111361146,0.02096489,0.12151775,0.031629354,0.00015942857,26.370876,0.14959645,0.34070322,0.25630653,0.14201565,0.07348531,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
87378704,87378235,39230940,33.6448665,-117.84206859999999,-1.7764099,0.27676776,1.9808282,0.0018472992,4.4952765e-05,3.7252903e-07,-0.16210261,0.030151322,0.039829448,0.03108424,0.02116495,-0.02306845,-0.02159992,-1.8285944,-0.036400523,-8.615144,-0.14996162,0.02110254,0.0866211,0.031629354,0.00015944238,26.370876,0.14448965,0.33152908,0.25263914,0.13749625,0.07259779,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
87883115,87882133,39230940,33.6448665,-117.84206859999999,-1.8133328,0.29127502,1.9853947,0.0018472992,4.4952765e-05,3.7252903e-07,-0.013511636,0.06636494,0.047449235,0.048289303,0.02116495,-0.02306845,-0.02159992,-2.1240554,0.50444037,-1.2934712,-0.20444195,0.021288274,0.036036883,0.031629354,0.00016059281,26.370876,0.1399231,0.3396962,0.2563526,0.14274563,0.07344042,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
88386436,88385965,39230940,33.6448665,-117.84206859999999,-1.8333459,0.28567827,1.9686586,0.0018472992,4.4952765e-05,3.7252903e-07,0.19791412,-0.09346337,-0.6078102,-0.5921737,0.02116495,-0.02306845,-0.02159992,-0.15333529,4.7852173,-15.664548,-0.20351358,0.021242548,0.038809504,0.031629354,0.00015963684,26.370876,0.15665925,0.33150375,0.25336546,0.13913292,0.07281988,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
88879896,88879390,39230940,33.6448665,-117.84206859999999,-1.7626473,0.052322,0.6284756,0.0018472992,4.4952765e-05,3.7252903e-07,0.3269944,-0.26717877,-4.7837873,-4.774975,0.02116495,-0.02306845,-0.02159992,-0.6441356,15.387887,-16.383635,-0.27882797,0.019565057,0.051455494,0.031629354,0.00015617056,26.370876,1.4968421,0.33943468,0.2573611,0.17584936,0.07364685,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
89383790,89383298,39230940,33.6448665,-117.84206859999999,-1.6887844,-0.11810794,-2.2818596,0.0018472992,4.4952765e-05,3.7252903e-07,0.30171937,-0.15160787,-5.941385,-5.931852,0.02116495,-0.02306845,-0.02159992,1.5031328,3.1509223,5.386589,-0.33057272,0.0176914,0.030205421,0.031629354,0.0001395061,26.370876,4.4071774,0.33124653,0.25439766,0.16236694,0.072901405,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
89881399,89876756,39230940,33.6448665,-117.84206859999999,-1.5516675,-0.13931458,-4.778555,0.0018472992,4.4952765e-05,3.7252903e-07,0.1958034,0.08619292,-4.536173,-4.497302,0.02116495,-0.02306845,-0.02159992,2.0545995,-3.5237741,8.009153,-0.38918886,0.016708722,0.029436242,0.031629354,0.00013528924,26.370876,6.9038725,0.3395257,0.25778353,0.15254715,0.07368595,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
90381071,90380569,39230940,33.6448665,-117.84206859999999,-1.5108109,-0.022381755,-6.684608,0.0018472992,4.4952765e-05,3.7252903e-07,-0.01154386,0.09743445,-3.2031987,-3.1445308,0.02116495,-0.02306845,-0.02159992,0.52595586,0.85155886,3.8335624,-0.4111898,0.015551834,0.04756559,0.031629354,0.00013397099,26.370876,8.809926,0.3312394,0.2550733,0.14284532,0.072921515,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
90884974,90884482,39230940,33.6448665,-117.84206859999999,-1.4575261,0.073587,-8.005754,0.0018472992,4.4952765e-05,3.7252903e-07,0.06758489,0.07987495,-2.1276286,-2.058026,0.02116495,-0.02306845,-0.02159992,-0.83903885,-0.55777836,0.72989196,-0.43755227,0.0153605305,0.032894865,0.031629354,0.00013702584,26.370876,10.131072,0.33933026,0.2591268,0.13817121,0.073862836,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
91378715,91377859,39230940,33.6448665,-117.84206859999999,-1.4657993,0.08313648,-8.847764,0.0018472992,4.4952765e-05,3.7252903e-07,-0.0032030449,-0.04852603,-1.4862685,-1.4176717,0.02116495,-0.02306845,-0.02159992,5.0323186,8.282997,-1.411281,-0.44917428,0.01532309,0.039840426,0.031629354,0.00014005558,26.370876,10.973082,0.33029205,0.25612506,0.1349835,0.073035695,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
91882569,91881785,39230940,33.6448665,-117.84206859999999,-1.5297657,0.06587582,-9.398523,0.0018472992,4.4952765e-05,3.7252903e-07,-0.15626208,-0.112650976,-0.79691297,-0.7337334,0.02116495,-0.02306845,-0.02159992,1.1393268,1.6179031,3.279742,-0.45375735,0.015183634,0.05329601,0.031629354,0.00014385846,26.370876,11.523841,0.33797824,0.26012146,0.14041854,0.07393699,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
92386316,92385693,39230940,33.6448665,-117.84206859999999,-1.5458285,0.09049059,-9.488551,0.0018472992,4.4952765e-05,3.7252903e-07,-0.03555848,0.028830158,0.11394286,0.18130432,0.02116495,-0.02306845,-0.02159992,-1.7985108,1.0554495,-0.9097031,-0.460784,0.015277735,0.052092478,0.031629354,0.0001483892,26.370876,11.613869,0.32907158,0.2573926,0.1349145,0.07328027,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
92879824,92879139,39230940,33.6448665,-117.84206859999999,-1.5950553,0.10527314,-9.261452,0.0018472992,4.4952765e-05,3.7252903e-07,-0.05565683,-0.104729705,0.6098202,0.6765345,0.02116495,-0.02306845,-0.02159992,-3.9024627,3.3629863,0.5666449,-0.48936298,0.015569437,0.028225077,0.031629354,0.00015367355,26.370876,11.386769,0.33594307,0.26156068,0.13820463,0.074107856,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
93384250,93382997,39230940,33.6448665,-117.84206859999999,-1.6722343,0.12410735,-8.724577,0.0018472992,4.4952765e-05,3.7252903e-07,0.008288328,0.037427064,1.3542454,1.4107072,0.02116495,-0.02306845,-0.02159992,-2.0619116,3.6266625,-3.6488683,-0.48396388,0.015852727,0.05742678,0.031629354,0.00015829373,26.370876,10.849895,0.32744277,0.25885555,0.13435383,0.07336305,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
