timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
82548425,82547833,0.99754417,0.005363977,0.00059755443,-0.069831915,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82601314,82600794,0.997535,0.005354823,0.000857447,-0.0699618,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82649077,82648485,0.99755454,0.0053725448,0.00075726403,-0.06968191,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82702044,82701472,0.9975422,0.005342428,0.0006214212,-0.069861814,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82749681,82749075,0.99754095,0.0051821168,0.00082169246,-0.0698905,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82797409,82796862,0.997535,0.005104622,0.00071350194,-0.069981724,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82850306,82849785,0.9975521,0.0051691425,0.00045274096,-0.06973557,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82897965,82897428,0.9975495,0.0051445635,0.00059112324,-0.06977302,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82951075,82950401,0.99754006,0.005148496,0.0003893636,-0.069908924,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
82998645,82998131,0.9975436,0.0050087054,0.00028328967,-0.06986999,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83051547,83051028,0.9975533,0.0050892024,0.00061173656,-0.06972204,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83099356,83098760,0.9975733,0.005062741,0.00033879388,-0.06943846,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83152334,83151828,0.99756986,0.0051678135,0.0005630371,-0.06947918,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83199852,83199337,0.9975631,0.0051452806,0.00055059924,-0.06957877,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83252836,83252297,0.9975679,0.005261555,0.0005275765,-0.06950109,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83300528,83299994,0.9975612,0.005325212,0.0006704409,-0.06959027,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83348256,83347669,0.9975403,0.0052565658,0.0007103047,-0.06989476,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83401198,83400658,0.9975424,0.005229187,0.0006378808,-0.06986703,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83448873,83448325,0.9975461,0.0051005585,0.00076561904,-0.0698234,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83501940,83501349,0.9975324,0.0051019397,0.0004983183,-0.0700211,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83549608,83548960,0.9975318,0.0049700183,0.00042112515,-0.0700397,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83602460,83601939,0.9975416,0.004822564,0.00031657095,-0.06991042,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83650223,83649662,0.9975746,0.0049634688,0.00025678147,-0.06942852,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83697853,83697319,0.997633,0.0050291503,0.00029194026,-0.06858001,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83750868,83750270,0.9976072,0.0048606745,0.00045063056,-0.06896538,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83798605,83798060,0.9975452,0.0048845313,0.00023014436,-0.06985499,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83851466,83850904,0.99755776,0.0049391184,0.0004718693,-0.06967089,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83899088,83898571,0.99757147,0.004970384,0.00035169866,-0.069472395,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83952163,83951563,0.99756896,0.00472123,0.0002897944,-0.06952638,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
83999855,83999312,0.99757415,0.004471725,0.0004685435,-0.069467634,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84052735,84052214,0.99758816,0.004689186,0.00038511527,-0.06925223,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84100506,84099950,0.9976204,0.004698172,0.00028346962,-0.06878661,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84148184,84147569,0.99760336,0.0047565578,0.0004091448,-0.069027916,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84201061,84200546,0.99758947,0.004949287,0.00032592358,-0.06921542,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84248841,84248221,0.9975447,0.004923487,0.00053957856,-0.06985736,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84301715,84301184,0.9975543,0.004917397,0.0004240324,-0.06972167,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84350004,84348819,0.9975474,0.004977252,0.00047495877,-0.06981552,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84402372,84401828,0.9975061,0.004951638,0.00014019765,-0.07040647,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84450089,84449528,0.9975344,0.004932516,9.348507e-05,-0.070007,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84497681,84497161,0.9976147,0.0047766953,-0.000111539965,-0.06886389,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84550776,84550128,0.9976158,0.004555179,-0.00027211584,-0.06886128,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84598391,84597789,0.99761105,0.0045797694,-0.0003032914,-0.06892793,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84651388,84650799,0.99758244,0.0049289395,9.748749e-05,-0.06931798,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84698994,84698456,0.9975836,0.004773426,6.557202e-05,-0.06931328,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84752019,84751392,0.99758863,0.0046736635,0.00030346125,-0.06924652,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84799702,84799119,0.99755794,0.004944953,0.00019668667,-0.06966851,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84852632,84852050,0.99757445,0.0049111815,0.000111120564,-0.06943512,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84900257,84899742,0.99756277,0.0049139927,0.00023047726,-0.06960186,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
84948005,84947432,0.99757487,0.0047804224,0.00019702673,-0.069437176,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85000968,85000390,0.9975673,0.0049664327,0.00013809293,-0.06953267,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85048639,85048111,0.9975739,0.004801513,0.00024399081,-0.06944966,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85101613,85101065,0.99755824,0.0048640077,-3.5607434e-05,-0.06967033,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
