timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
80898546,4.8355956,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
81398547,4.8540254,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
81898546,4.8223023,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
82398639,4.7984343,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
82898546,4.8207917,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
83398551,4.8278413,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
83898546,4.840228,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
84398546,4.832071,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
84898546,4.8259277,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
85398670,4.5689206,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
85898554,4.8193817,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
86398547,4.8024626,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
86898545,4.79209,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
87398546,4.5744596,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
87898899,4.813742,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
88398587,4.7911835,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
88898546,4.808304,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
89398546,4.7903776,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
89898547,4.813037,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
90399054,4.543039,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
90898547,4.483319,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
91398556,4.801657,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
91898581,4.7994413,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
92398546,4.5249114,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
92898546,4.5649934,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
93398567,4.8177705,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
93898596,4.815454,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
94398546,4.8177705,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
94898546,4.8855467,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
95398546,4.816058,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
95898546,4.8200865,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
96398574,4.780005,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
96898576,4.820993,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
97398760,4.84043,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
97898546,4.8157563,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
98398562,4.558548,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
98898546,4.790277,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
99398863,4.833884,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
99898589,4.8331785,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
100398546,4.587451,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
100898545,4.8263307,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
101398546,4.8135405,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
101898699,4.8052826,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
102398546,4.535083,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
102898547,4.840228,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
103398611,4.8020597,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
103898547,4.8066926,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
104398546,4.8145475,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
104898546,4.830258,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
105398620,4.8000455,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
105898742,4.832373,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
106398546,4.8314667,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
106898546,4.8210936,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
107398549,4.837106,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
