timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
80879549,80879198,39231187,33.6448665,-117.84206859999999,-1.2030907,0.21360612,2.3852675,-0.00085874175,0.0002343154,-6.2584877e-07,-0.0029754473,0.009492346,0.04401153,0.054620594,0.024599649,-0.021377075,-0.005986777,-3.6489213,-0.21995604,2.607604,-0.14482605,0.021472119,0.0010725269,0.026735252,0.00015237348,26.91303,0.093390465,0.3388685,0.25504798,0.13990925,0.07246867,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
81379586,81379194,39231187,33.6448665,-117.84206859999999,-1.2116803,0.21232893,2.4049556,-0.00085874175,0.0002343154,-6.2584877e-07,0.02584541,0.0063662967,0.033145566,0.041493203,0.024599649,-0.021377075,-0.005986777,1.2354039,-1.881908,-0.341932,-0.14454117,0.021504082,0.0013151543,0.026735252,0.00015161792,26.91303,0.100008726,0.33081263,0.25116858,0.13558502,0.07162485,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
81883292,81879315,39231187,33.6448665,-117.84206859999999,-1.2331878,0.21657649,2.4262447,-0.00085874175,0.0002343154,-6.2584877e-07,0.00339651,-0.0077507896,0.0329632,0.0418049,0.024599649,-0.021377075,-0.005986777,-3.9080007,-4.027562,-0.19913144,-0.1439788,0.021538578,0.0017640493,0.026735252,0.00015235686,26.91303,0.096055984,0.33901715,0.25490066,0.13991512,0.07245596,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
82379889,82379069,39231187,33.6448665,-117.84206859999999,-1.2584031,0.21274047,2.4525433,-0.00085874175,0.0002343154,-6.2584877e-07,0.0027294627,0.0065763937,0.03266126,0.045343153,0.024599649,-0.021377075,-0.005986777,3.4640238,-2.2487998,-1.0824736,-0.14477651,0.021570077,0.0007792102,0.026735252,0.00015160943,26.91303,0.10040474,0.33103463,0.25122428,0.13554601,0.071630545,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
82883553,82879206,39231187,33.6448665,-117.84206859999999,-1.2844664,0.2096091,2.4780624,-0.00085874175,0.0002343154,-6.2584877e-07,-0.0013826548,0.0055186977,0.032267857,0.046012357,0.024599649,-0.021377075,-0.005986777,4.1830835,-0.4004986,-0.8821543,-0.1447844,0.02160515,0.0006909437,0.026735252,0.00015235977,26.91303,0.09602761,0.33933648,0.25449604,0.13995281,0.07240023,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
83379625,83379194,39231187,33.6448665,-117.84206859999999,-1.3144431,0.20802216,2.5103014,-0.00085874175,0.0002343154,-6.2584877e-07,-0.017492004,0.010663374,0.037245825,0.05710274,0.024599649,-0.021377075,-0.005986777,1.7603163,1.4348934,0.105848916,-0.14482264,0.021637753,0.00036254042,0.026735252,0.00015161239,26.91303,0.104682684,0.33139476,0.25100866,0.1355888,0.07158463,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
83879547,83879069,39231187,33.6448665,-117.84206859999999,-1.3440666,0.20689219,2.5417516,-0.00085874175,0.0002343154,-6.2584877e-07,-0.030449906,0.010714422,0.041312635,0.062432814,0.024599649,-0.021377075,-0.005986777,-1.8168867,1.7835203,1.2201185,-0.14415136,0.021674074,0.0009929031,0.026735252,0.0001523615,26.91303,0.095227,0.33969778,0.25438258,0.13998559,0.072364084,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
84380044,84379193,39231187,33.6448665,-117.84206859999999,-1.3714857,0.20916449,2.567798,-0.00085874175,0.0002343154,-6.2584877e-07,-0.02187706,0.0029476646,0.03656899,0.053821564,0.024599649,-0.021377075,-0.005986777,4.1719704,0.06173055,-0.54729897,-0.14458466,0.021708231,0.00045561994,0.026735252,0.00015161195,26.91303,0.097858906,0.33164465,0.25095454,0.13559453,0.07154605,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
84879615,84879069,39231187,33.6448665,-117.84206859999999,-1.3937038,0.20730498,2.589768,-0.00085874175,0.0002343154,-6.2584877e-07,-0.029567491,0.00427554,0.036769908,0.050002523,0.024599649,-0.021377075,-0.005986777,0.054927953,0.17604755,0.5633841,-0.14356704,0.021744853,0.0013256478,0.026735252,0.00015238248,26.91303,0.09246969,0.34001985,0.2543912,0.14010167,0.07233587,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
85383298,85379541,39231187,33.6448665,-117.84206859999999,-1.4130684,0.20658621,2.601441,-0.00085874175,0.0002343154,-6.2584877e-07,-0.014020821,-0.0072163367,0.053662542,0.06042358,0.024599649,-0.021377075,-0.005986777,-2.1348305,-3.8023915,3.9546633,-0.14059232,0.021777634,0.00473817,0.026735252,0.00015161693,26.91303,0.09949398,0.3319632,0.25170192,0.13570733,0.071601495,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,1,0,0
