timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
80410855,2880.0,1.0,665.0863,0.0,1556,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81670077,2880.0,1.0,835.4402,0.0,1580,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82925904,2880.0,1.0,674.1578,0.0,1604,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84181752,2880.0,1.0,725.4944,0.0,1629,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85185878,2880.0,1.0,673.6807,0.0,1650,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85437878,2880.0,1.0,728.2521,0.0,1657,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86692074,2880.0,1.0,675.37164,0.0,1683,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87948858,2880.0,1.0,728.3954,0.0,1707,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89203858,2880.0,1.0,674.4835,0.0,1732,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90206869,2880.0,1.0,727.5224,0.0,1752,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90457151,2880.0,1.0,676.2872,0.0,1765,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91711986,2880.0,1.0,834.7312,0.0,1788,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92966967,2880.0,1.0,675.64874,0.0,1814,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94224176,2880.0,1.0,728.96497,0.0,1837,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95225856,2880.0,1.0,675.553,0.0,1858,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95478961,2880.0,1.0,727.6066,0.0,1866,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96733036,2880.0,1.0,676.95465,0.0,1891,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97989878,2880.0,1.0,728.83307,0.0,1916,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99245856,2880.0,1.0,674.5722,0.0,1941,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100246885,2880.0,1.0,728.98395,0.0,1961,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100502021,2880.0,1.0,676.21893,0.0,1973,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101756541,2880.0,1.0,836.47516,0.0,1997,0,0.0,0,0,0,0,0,0.0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
