timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
81306036,81306036,8944899,0.074157715,0.030273438,0.20043945,nan,0
82306166,82306165,8944899,0.08093262,0.019470215,0.19824219,nan,0
83306068,83306067,8944899,0.07800293,0.031585693,0.20129395,nan,0
84306254,84306253,8944899,0.07183838,0.044525146,0.20483398,nan,0
85306055,85306054,8944899,0.087890625,0.018005371,0.17468262,nan,0
86306147,86306146,8944899,0.03173828,0.009063721,0.1616211,nan,0
87305901,87305901,8944899,0.04559326,0.08947754,0.27856445,nan,0
88305833,88305832,8944899,0.07720947,0.009735107,0.15454102,nan,0
89305780,89305779,8944899,0.028930664,0.2208252,0.1171875,nan,0
90306774,90306773,8944899,-0.0034675598,0.14245605,0.16186523,nan,0
91305947,91305946,8944899,-0.032928467,0.12988281,0.17663574,nan,0
92306066,92306065,8944899,-0.13171387,0.17028809,0.10412598,nan,0
93305936,93305936,8944899,-0.0058670044,0.18164062,0.16430664,nan,0
94306741,94306740,8944899,-0.026397705,0.18811035,0.064941406,nan,0
95306627,95306626,8944899,-0.037719727,0.17260742,0.14746094,nan,0
96305699,96305669,8944899,-0.097351074,0.19799805,0.14746094,nan,0
97305685,97305684,8944899,-0.0011997223,0.16296387,0.095581055,nan,0
98305799,98305798,8944899,-0.09063721,0.1194458,0.16467285,nan,0
99305757,99305757,8944899,-0.104003906,0.23498535,0.031341553,nan,0
100305645,100305645,8944899,-0.16564941,0.016662598,0.058013916,nan,0
101305951,101305951,8944899,-0.13586426,0.04574585,0.010932922,nan,0
102306020,102306020,8944899,-0.062927246,0.14440918,0.18408203,nan,0
103305951,103305950,8944899,-0.17163086,0.1381836,0.09490967,nan,0
104306090,104306090,8944899,-0.15783691,0.25683594,0.09307861,nan,0
105306184,105306184,8944899,-0.0960083,0.1628418,0.19714355,nan,0
106307093,106307093,8944899,-0.08721924,0.23425293,0.12670898,nan,0
107306369,107306368,8944899,-0.00066661835,-0.39794922,0.06890869,nan,0
