timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
94573031,94573013,0.15319207,3.095153e-05,-10.354716,51.975723,0.2292099,52.00983,1
94678930,94678913,0.15352546,3.0199328e-05,3.6947417,51.22968,0.029607655,50.952274,1
94774506,94774488,0.15318817,2.9540002e-05,10.398771,50.724567,0.23686625,50.959435,1
94880192,94880174,0.15153351,2.8824914e-05,9.022302,51.32893,0.17620976,51.382057,1
94975647,94975625,0.15163526,2.8200706e-05,1.2106755,50.74655,0.0032092712,50.379353,1
95081569,95081549,0.15157607,2.753852e-05,-5.869946,50.303516,0.07610748,50.078922,1
95177303,95177282,0.15070926,2.6987882e-05,3.2037673,51.487206,0.022150325,51.16528,1
95272257,95272237,0.15026315,2.6675036e-05,5.410807,59.011444,0.055124585,58.75538,1
95378527,95378504,0.15053314,2.6373618e-05,-8.262517,60.081127,0.12625371,60.08525,1
95473674,95473656,0.15038134,2.6107218e-05,3.226214,59.459778,0.019450042,59.11627,1
95580122,95580101,0.1500162,2.581353e-05,1.7731575,58.19767,0.006002698,57.812126,1
95674860,95674840,0.1491931,2.5542282e-05,2.3289764,58.20316,0.010354785,57.834652,1
95780862,95780841,0.14984237,2.5211868e-05,-8.415695,56.56127,0.13912922,56.5972,1
95876129,95876108,0.15001565,2.4895897e-05,-1.7950258,55.835552,0.00641192,55.494205,1
95982096,95982075,0.15097012,2.451925e-05,-1.3155824,54.970848,0.003498333,54.596817,1
96077501,96077481,0.15110084,2.4138295e-05,-0.53576505,54.720657,0.00058284757,54.344883,1
96172732,96172714,0.1518023,2.3733282e-05,-3.662918,53.0394,0.028106924,52.70989,1
96279025,96279004,0.15217935,2.3264476e-05,9.569342,52.684444,0.19312531,52.832947,1
96374042,96374024,0.15261245,2.2845767e-05,8.502558,52.027172,0.15439259,52.063274,1
96480754,96480736,0.15295465,2.2416498e-05,4.7795386,53.71927,0.047249734,53.45524,1
96575265,96575247,0.15262416,2.2019834e-05,3.122677,52.874195,0.020491222,52.549084,1
96681339,96681321,0.1532284,2.1600372e-05,0.29982537,52.0696,0.00019182713,51.701363,1
96776605,96776587,0.15323372,2.1236148e-05,0.79985225,51.194706,0.0013885195,50.831764,1
96882594,96882576,0.15222472,2.0825959e-05,11.333807,50.49355,0.28266576,50.797546,1
96977897,96977880,0.15321198,2.046919e-05,-0.5511304,51.198536,0.0006591871,50.84009,1
97073334,97073316,0.1535515,2.0144389e-05,-6.205602,49.95255,0.085657954,49.778687,1
97179167,97179149,0.1532319,1.981289e-05,6.158703,49.319176,0.0854516,49.19777,1
97274669,97274651,0.15238854,1.9606769e-05,11.902152,51.248814,0.3071317,51.653538,1
97380602,97380584,0.15127607,1.9432784e-05,8.528879,53.13042,0.15212415,53.11615,1
97475864,97475817,0.15127136,1.9265908e-05,6.0213847,51.442192,0.07831244,51.266685,1
97582076,97582057,0.1513254,1.9066625e-05,-4.0602283,50.59833,0.036201138,50.386284,1
97677192,97677174,0.15173687,1.8889777e-05,5.2730947,52.3086,0.059063002,52.103962,1
97772586,97772568,0.15184186,1.8678695e-05,-4.105131,51.76904,0.036169413,51.52489,1
97878424,97878406,0.15117563,1.844789e-05,12.558982,50.72532,0.34549487,51.17686,1
97973859,97973840,0.15058365,1.8262519e-05,-3.951438,51.257305,0.033846367,51.03615,1
98079775,98079757,0.15048055,1.8053137e-05,-8.209838,50.146362,0.1493438,50.230984,1
98175108,98175090,0.15000272,1.7896975e-05,23.334003,51.30298,1.1792161,53.57656,1
98281042,98281022,0.15023963,1.772752e-05,-3.3679705,54.277466,0.023220656,54.021103,1
98376381,98376364,0.15047088,1.754197e-05,2.711096,52.988323,0.015412289,52.66413,1
98482322,98482304,0.15018883,1.7295872e-05,8.434517,51.54325,0.1533579,51.52126,1
98577662,98577644,0.15046756,1.7074028e-05,-9.077382,52.209274,0.1753602,52.313522,1
98673108,98673087,0.14998278,1.6864446e-05,-5.5713005,52.38893,0.0658311,52.233677,1
98778889,98778867,0.15005447,1.663786e-05,4.8653092,50.988987,0.051582456,50.746113,1
98874457,98874437,0.14900964,1.6408143e-05,8.76077,50.54805,0.16870877,50.529804,1
98980251,98980233,0.14824918,1.6175383e-05,9.396153,50.51175,0.19420718,50.531734,1
99075634,99075616,0.1480673,1.5996544e-05,-2.0328696,49.57171,0.009262808,49.300014,1
99181518,99181497,0.14866637,1.5799285e-05,-2.5299513,48.67989,0.0146093955,48.41558,1
99276979,99276959,0.14872906,1.5618358e-05,-19.339224,48.203194,0.86210424,49.976845,1
99372569,99372552,0.14880681,1.544673e-05,6.556691,49.0592,0.09736581,48.92607,1
99478176,99478155,0.14841558,1.5266674e-05,6.7473907,49.270157,0.10267041,49.138958,1
99573820,99573803,0.14855863,1.5089806e-05,2.2768397,47.93254,0.012016886,47.62935,1
99679770,99679753,0.14846444,1.4907255e-05,-2.8142788,47.653133,0.018467167,47.390915,1
99774796,99774779,0.14799812,1.474237e-05,-4.6187205,47.46867,0.049933705,47.310097,1
