timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
86722976,86616024,2621474,-0.002344591,-0.00064849097,0.0007100477,0.15,2.0434828e-07,2.0439198e-07,9.653552e-07,2621474,-0.0032244404,-0.0030964976,-0.014250406,0.4,0.006105653,0.006099802,2.0872241e-05,8944899,-0.038990367,-0.007641244,0.018654397,0.5,0.0011864624,0.0008048702,0.0012185486,1,0,1,0,1,0
86754808,86647735,2621474,-0.0023579139,-0.00066576287,0.0007202254,0.15,2.0266798e-07,2.0269495e-07,9.652147e-07,2621474,-0.0034531804,-0.003274006,-0.014279098,0.4,0.0061053587,0.0060994434,2.0823169e-05,8944899,-0.038680047,-0.008611715,0.018668475,0.5,0.0011860115,0.0008005637,0.0012185473,1,0,1,0,1,0
86860752,86753702,2621474,-0.0023579202,-0.00066575693,0.0007202249,0.15,2.0379088e-07,2.0381785e-07,9.663372e-07,2621474,-0.0034476803,-0.0032770168,-0.0142473355,0.4,0.006105368,0.0060994527,2.0828376e-05,8944899,-0.039169196,-0.0070389365,0.019045902,0.5,0.0011826253,0.00079701806,0.0012128766,1,0,1,0,1,0
86998490,86891454,2621474,-0.0023672725,-0.00067157164,0.0007249946,0.15,2.0326908e-07,2.0328017e-07,9.672814e-07,2621474,-0.0036196886,-0.0033312158,-0.014255852,0.4,0.0061048064,0.006098779,2.0787644e-05,8944899,-0.03805614,-0.0053437613,0.019688828,0.5,0.0011772473,0.00078850624,0.001210329,1,0,1,0,1,0
87062037,86955045,2621474,-0.002367278,-0.0006715671,0.0007249941,0.15,2.0394306e-07,2.0395414e-07,9.679552e-07,2621474,-0.0036161304,-0.0033318514,-0.014234243,0.4,0.006104812,0.0060987845,2.0788837e-05,8944899,-0.039401013,-0.0042797616,0.021165363,0.5,0.0011744624,0.00078462664,0.0012061285,1,0,1,0,1,0
87136200,87029132,2621474,-0.002367278,-0.0006715671,0.0007249939,0.15,2.047272e-07,2.0473828e-07,9.687392e-07,2621474,-0.0036161277,-0.0033318633,-0.014234243,0.4,0.0061048185,0.006098791,2.0793323e-05,8944899,-0.04006445,-0.002897175,0.020780198,0.5,0.0011727874,0.00078261143,0.0012043746,1,0,1,0,1,0
87200083,87092720,2621474,-0.0023845315,-0.00067867414,0.00073027576,0.15,2.0341015e-07,2.0340761e-07,9.691828e-07,2621474,-0.004037835,-0.0034253856,-0.014258317,0.4,0.0061037433,0.0060975845,2.0748274e-05,8944899,-0.039550472,-0.002219762,0.02020882,0.5,0.0011709393,0.0007789226,0.0012037852,1,0,1,0,1,0
87337395,87230430,2621474,-0.0023845385,-0.00067866885,0.00073027477,0.15,2.0486895e-07,2.0486641e-07,9.706413e-07,2621474,-0.0040341048,-0.003424571,-0.014233184,0.4,0.0061037554,0.0060975966,2.0753983e-05,8944899,-0.039269615,-0.0010999028,0.021029219,0.5,0.0011696538,0.0007772284,0.0012024506,1,0,1,0,1,0
87411726,87304623,2621474,-0.0023837148,-0.00067227427,0.00072881713,0.15,2.0360918e-07,2.0362445e-07,9.713369e-07,2621474,-0.0039220247,-0.003206037,-0.014255317,0.4,0.006102084,0.00609584,2.0710173e-05,8944899,-0.038827352,0.0011561406,0.021815453,0.5,0.0011689886,0.0007745378,0.0011997486,1,0,1,0,1,0
87475198,87368174,2621474,-0.0023837213,-0.0006722691,0.0007288165,0.15,2.0428229e-07,2.0429756e-07,9.720098e-07,2621474,-0.003918595,-0.0032039164,-0.014231821,0.4,0.00610209,0.0060958457,2.0711372e-05,8944899,-0.0379754,0.0010157176,0.02262179,0.5,0.0011677666,0.0007737906,0.0011966683,1,0,1,0,1,0
87549788,87442379,2621474,-0.002378699,-0.0006674617,0.00083727745,0.15,2.0503882e-07,2.0505675e-07,9.587948e-07,2621474,-0.0037673668,-0.0034412225,-0.014205547,0.4,0.00610207,0.0060957833,2.0715892e-05,8944899,-0.03297103,-0.0075659575,0.024152892,0.5,0.0011555803,0.0006597193,0.0011949047,1,0,1,0,1,0
87612809,87505924,2621474,-0.0023714195,-0.0006557568,0.0008375629,0.15,2.0363528e-07,2.0366218e-07,9.594368e-07,2621474,-0.0034363437,-0.0030681775,-0.014235128,0.4,0.006100216,0.0060938327,2.067073e-05,8944899,-0.031545673,-0.0069670314,0.024802603,0.5,0.0011531838,0.0006590539,0.0011938103,1,0,1,0,1,0
