timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
80398307,80291291,171865803351,0.00015596885,0.0035532014,0.0054095765,0,0.33212298,0.25372583,0.0,0.056339398,0.02237539,0.029392209,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,72.45882,58.358376,0.45093635,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
80408715,80301832,171865803351,0.00015587635,0.003389316,0.0052794726,0,0.33297786,0.25422767,0.0,0.056339398,0.02237539,0.029392209,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,72.45882,58.358376,0.45093635,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
80599918,80492529,171798694487,6.99106e-05,0.0013525699,0.004011844,0,0.332149,0.25357005,0.0,0.014057854,0.024704743,0.029657729,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,70.9027,58.358376,0.4567825,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
80800545,80693849,171798694487,0.00012832938,0.0032470464,0.0030342157,0,0.3322446,0.25344402,0.0,0.045728832,0.023735331,0.028566886,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.428635,58.358376,0.45779338,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
81001885,80895150,171798694487,0.000103541075,0.0023663603,0.0030409354,0,0.33241805,0.25333852,0.0,0.056566104,0.02391044,0.035374932,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.339195,58.358376,0.4556689,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
81192632,81085825,171798694487,0.00013463672,0.0043668705,0.008162017,0,0.33169964,0.2527223,0.0,0.025334207,0.025711035,0.030552462,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,70.99285,58.358376,0.45721608,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
81393822,81287121,171798694487,0.0002117474,0.007062644,0.012608463,0,0.33184683,0.25261253,0.0,0.03196022,0.025182188,0.03171322,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,72.39207,58.358376,0.45533144,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
81595115,81488419,171798694487,0.00018890161,0.0034880987,0.0070201424,0,0.33198372,0.25252178,0.0,0.037233554,0.027308041,0.03330736,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.86772,58.358376,0.45206708,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
81796443,81689655,171798694487,0.0001059993,0.004261065,0.008688255,0,0.3321228,0.25244617,0.0,0.019379431,0.02633929,0.033124536,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.369865,58.358376,0.45630437,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
81997708,81890946,171798694487,9.6981064e-05,0.003451245,0.0062203305,0,0.33232352,0.25241065,0.0,0.018952064,0.026512794,0.027673464,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.14378,58.358376,0.45397595,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
82199037,82092241,171798694487,7.995667e-05,0.0026621323,0.0070894537,0,0.33252636,0.2523899,0.0,0.02087908,0.028042708,0.028971862,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,70.65059,58.358376,0.45843345,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
82400297,82293581,171798694487,3.6464662e-05,0.001854978,0.0041546132,0,0.33266982,0.25236145,0.0,0.024894308,0.025937237,0.032345243,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.46528,58.358376,0.45483297,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
82601550,82494846,171798694487,1.7944767e-05,0.0011653648,0.0041182027,0,0.33281386,0.2523486,0.0,0.022331264,0.026636263,0.027689967,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.24686,58.358376,0.45743376,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
82792312,82685579,171798694487,0.0001366808,0.004947195,0.009634602,0,0.33215973,0.25252017,0.0,0.024456315,0.02735425,0.03498576,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,70.75153,58.358376,0.45857364,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
82993570,82886832,171798694487,0.00014927973,0.0038971172,0.009326785,0,0.33235788,0.2525468,0.0,0.036057293,0.028323853,0.0210035,0.0,nan,0.0,0.0,2621474,2621474,3997730,8944899,71.25014,58.358376,0.45793268,0.46025112,0,0,895,2,2,2,2,2,0,0,0,0,0,0,0
