timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
80325555,80218599,2424842,-0.0033130362,0.0082790665,0.0014601187,0.15,2.0036862e-07,1.9961702e-07,9.277223e-07,2424842,-0.0035004362,0.0023702278,-0.024854101,0.4,0.0061135907,0.006108438,2.2429695e-05,8944899,-0.043879498,-0.01645198,0.020629754,0.5,0.0011721419,0.0007971765,0.001250287,1,1,1,0,1,0
81332009,81226441,2424842,-0.0033130401,0.0083100535,0.0014597505,0.15,2.0134465e-07,2.0037938e-07,9.382364e-07,2424842,-0.0034367521,0.0023770977,-0.024829073,0.4,0.0061136466,0.006108487,2.2184562e-05,8944899,-0.043916952,-0.01650327,0.020631423,0.5,0.0011720243,0.0007964784,0.001250261,1,1,1,0,1,0
82339947,82234321,2424842,-0.0033070638,0.008325309,0.0014591835,0.15,2.022886e-07,2.0114518e-07,9.4876793e-07,2424842,-0.0034042823,0.002358435,-0.024888419,0.4,0.0061137048,0.006108544,2.1952017e-05,8944899,-0.04391931,-0.01647081,0.020684194,0.5,0.0011719187,0.0007959767,0.0012502038,1,1,1,0,1,0
83348432,83242019,2424842,-0.0033070045,0.008340729,0.0014585998,0.15,2.011765e-07,1.9980818e-07,9.592968e-07,2424842,-0.0033982438,0.0023357472,-0.025039611,0.4,0.00611377,0.0061086086,2.1672487e-05,8944899,-0.04393027,-0.016393656,0.020764269,0.5,0.0011718253,0.00079551426,0.0012501694,1,1,1,0,1,0
84355507,84249859,2424842,-0.0033108871,0.008355093,0.0014583312,0.15,2.0180559e-07,2.0034142e-07,9.698551e-07,2424842,-0.003383175,0.0023274142,-0.025097957,0.4,0.006113836,0.0061086803,2.1454269e-05,8944899,-0.04395035,-0.016348591,0.020840252,0.5,0.0011717477,0.0007952314,0.0012501262,1,1,1,0,1,0
85363130,85257685,2424842,-0.0033226311,0.008377468,0.0014580627,0.15,2.0234681e-07,2.0084839e-07,9.804226e-07,2424842,-0.0033500597,0.0023389652,-0.025113225,0.4,0.006113892,0.0061087515,2.1243764e-05,8944899,-0.04393405,-0.016257409,0.020914324,0.5,0.0011716267,0.00079498556,0.0012500705,1,1,1,0,1,0
85825243,85719513,2424842,-0.0033304002,0.0083769765,0.0014586652,0.15,2.0314722e-07,2.016065e-07,9.852405e-07,2424842,-0.0033718639,0.0023618792,-0.02514828,0.4,0.0061138584,0.0061087506,2.116514e-05,8944899,-0.043448314,-0.01560309,0.02159907,0.5,0.0011701708,0.0007940549,0.0012476653,1,0,1,0,1,0
86172771,86065976,2424842,-0.0033427028,0.008369563,0.0014596332,0.15,2.0284058e-07,2.0127665e-07,9.888271e-07,2424842,-0.0033648657,0.0022985537,-0.02510246,0.4,0.0061138174,0.006108727,2.108201e-05,8944899,-0.04175529,-0.012837765,0.021995598,0.5,0.0011689194,0.00079006754,0.0012397821,1,0,1,0,1,0
86234886,86128963,2424842,-0.0033427041,0.008369565,0.0014596332,0.15,2.0350183e-07,2.019379e-07,9.894882e-07,2424842,-0.00335758,0.0023007928,-0.025077105,0.4,0.006113823,0.0061087324,2.1085581e-05,8944899,-0.040814023,-0.0124085015,0.020898018,0.5,0.0011679494,0.0007898595,0.0012385953,1,0,1,0,1,0
86308366,86202412,2424842,-0.0033427055,0.008369567,0.0014596332,0.15,2.0427252e-07,2.0270859e-07,9.902587e-07,2424842,-0.0033521713,0.0023023512,-0.02505873,0.4,0.0061138296,0.006108739,2.1087511e-05,8944899,-0.0418338,-0.013044947,0.022115937,0.5,0.001165749,0.00078937865,0.0012358384,1,0,1,0,1,0
