timestamp,time_estimate,safe_time_estimate,valid
81152101,0.0,0.0,0
83184779,0.0,0.0,0
85218728,0.0,0.0,0
87242507,1.2367823,101.36046,1
89244779,5.0480347,105.55284,1
91257800,14.784858,116.26334,1
93291471,15.001809,116.50199,1
95325630,12.098472,113.30832,1
97338437,8.946449,109.841095,1
99383237,6.8614774,107.54762,1
101385372,4.712544,105.1838,1
103420963,2.757574,103.03333,1
105442933,0.5628339,100.61912,1
107477385,0.0,0.0,0
