timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
103601510,-0.025472008,-0.07246857,-0.022926705,0.0
103801437,-0.0151256835,-0.08799091,-0.021695353,0.0
104001357,0.0006600245,-0.069718815,-0.019892758,0.0
104201400,-0.013962015,-0.09046705,-0.020270944,0.0
104401375,-0.010117011,-0.083776936,-0.021304445,0.0
104601313,-0.010431232,-0.08951467,-0.021365924,0.0
104801253,-0.02039063,-0.07821607,-0.020849211,0.0
105001261,-0.030647216,-0.087013185,-0.01933739,0.0
105201154,-0.041345567,-0.041314222,-0.01966111,0.0
105401158,-0.044565577,-0.08251549,-0.018700726,0.0
105601116,-0.035824656,-0.11097284,-0.01928294,0.0
105802434,-0.037065245,-0.12436023,-0.019741753,0.0
106001083,-0.022924762,-0.08473959,-0.015252577,0.0
106202319,-0.014045901,-0.072877966,-0.013664465,0.0
106402329,-0.010148335,-0.060125254,-0.010170434,0.0
106602316,-0.027963817,-0.066333644,-0.008408193,0.0
106802251,-0.035876837,-0.041665204,-0.0069191377,0.0
107002185,0.0005502797,-0.0005850669,-3.7221973e-05,0.0
107202156,0.0,0.0,0.0,0.0
107402157,0.0,0.0,0.0,0.0
107602154,0.0,0.0,0.0,0.0
107802155,0.0,0.0,0.0,0.0
