timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
80699122,0.013174685,0.048894513,0.0447608,5273,0,5.1544027,1.7706193,-10.256492,5273,0,0,1,1
80704434,-0.0022503857,-0.0452333,0.023766406,5312,0,-4.3074574,-3.7077477,-9.732189,5312,0,0,1,1
80709767,0.01672676,0.025919909,0.05957213,5333,0,2.1187806,-2.1828682,-10.61944,5333,0,0,1,1
80715038,-0.07054893,-0.009948613,0.030394852,5271,0,-4.373952,0.678443,-9.645793,5271,0,0,1,1
80720371,0.019057391,-0.021570735,0.042400263,5333,0,5.556034,2.414275,-9.121307,5333,0,0,1,1
80725644,-0.013834784,0.02570801,-0.008174014,5273,0,-1.142133,0.105697006,-10.605397,5273,0,0,1,1
80730943,0.072265975,-0.057532497,0.030675609,5299,0,-0.04894316,-0.49860784,-9.209313,5299,0,0,1,1
80736232,-0.026010038,0.048702575,-0.013639047,5289,0,-2.4907494,-1.1440777,-9.769037,5289,0,0,1,1
80741523,-0.026815793,-0.081555285,-0.016974183,5291,0,-1.0263945,0.8969243,-9.393539,5291,0,0,1,1
80746832,0.0035863305,0.084078744,-0.03419851,5309,0,4.683565,-0.1103561,-11.142111,5309,0,0,1,1
80752132,0.0024569705,-0.0913838,-0.039884124,5300,0,-2.2117295,1.1487601,-8.993316,5300,0,0,1,1
80757375,-0.02275558,0.06306701,-0.060697563,5243,0,3.5187979,-0.9882418,-10.192138,5243,0,0,1,1
80762707,-0.033091772,-0.06934556,-0.042774044,5332,0,-6.8801208,-2.6139755,-9.249521,5332,0,0,1,1
80768094,0.033707775,0.033038437,-0.0015609487,5387,0,3.5499563,0.11393479,-10.216848,5387,0,0,1,1
80773279,-0.03063005,0.009417831,0.013165191,5185,0,-2.7539563,1.5001779,-9.7626705,5185,0,0,1,1
80778611,0.011507607,-0.021959612,0.046636537,5332,0,5.800445,0.46733102,-9.911163,5332,0,0,1,1
80783853,0.03091701,0.054486312,0.05011364,5242,0,-2.9540906,-1.9960155,-10.043943,5242,0,0,1,1
80789185,0.015674405,-0.06699751,0.0589754,5332,0,1.4574327,0.44336954,-9.805831,5332,0,0,1,1
80794528,0.00034427232,0.11449524,0.031998932,5343,0,-1.4476788,0.51762676,-9.592281,5343,0,0,1,1
80799770,-0.015681006,-0.1041527,0.030934157,5242,0,-0.121529676,1.2195898,-9.606352,5242,0,0,1,1
80805055,0.022371933,0.087653816,-0.020413939,5285,0,1.5737485,0.103851855,-9.936386,5285,0,0,1,1
80810386,0.04451736,-0.0782477,0.027654428,5331,0,-3.87194,-2.1182916,-9.520161,5331,0,0,1,1
80815682,-0.052970037,0.04053642,0.003593412,5296,0,1.8236632,0.687163,-10.06809,5296,0,0,1,1
80820994,-0.024789987,-0.03182479,-0.035860144,5312,0,-1.9263543,-1.3907106,-9.234135,5312,0,0,1,1
