timestamp,lat,lon,alt,x,y,z,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
80241440,33.64485573654819,-117.84206636916377,24.512012,-1.2079607,0.20650497,1.8792012,-0.13990809,2866,1,1,1,0
85430436,33.64485382270367,-117.84206641983717,24.267353,-1.4207705,0.20181422,2.1238613,-0.1345025,2867,1,1,1,0
107202843,33.64485469025561,-117.84206628464167,23.142563,-1.3243032,0.21432905,3.2486506,-0.87510586,2868,1,1,1,0
107334952,33.644854870652594,-117.84206645395795,22.567087,-1.3042439,0.19865571,3.8241272,-0.9979343,2869,1,1,1,0
107504836,33.64485547562875,-117.8420675600232,22.000769,-1.2369736,0.096269004,4.390446,-0.74662143,2870,1,1,1,0
107724836,33.6448545,-117.8420679,22.04,0.0,0.0,0.0,0.0,2871,1,1,0,0
107735840,33.6448545,-117.8420679,22.04,0.0,0.0,0.0,0.0,2872,1,1,0,0
107746869,33.6448538,-117.8420698,21.75,0.0,0.0,0.0,0.0,2873,1,1,0,0
107801861,33.6448538,-117.8420698,21.75,0.0,0.0,0.0,0.022816896,2873,1,1,0,0
