timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
82548734,-0.0,-0.0,-0.13976933,0.0,0.9975591,-0.0,0.0,-0.069827795,0.0,0.0,-0.001,0,0
82601675,-0.0,-0.0,-0.14002709,0.0,0.9975501,-0.0,0.0,-0.069956355,0.0,0.0,-0.001,0,0
82644056,-0.0,-0.0,-0.13961853,0.0,0.9975643,-0.0,0.0,-0.06975258,0.0,0.0,-0.001,0,0
82697017,-0.0,-0.0,-0.13987957,0.0,0.99755526,-0.0,0.0,-0.06988278,0.0,0.0,-0.001,0,0
82750195,-0.0,-0.0,-0.1398849,0.0,0.997555,-0.0,0.0,-0.06988543,0.0,0.0,-0.001,0,0
82792377,-0.0,-0.0,-0.13989495,0.0,0.99755466,-0.0,0.0,-0.06989045,0.0,0.0,-0.001,0,0
82845331,-0.0,-0.0,-0.13978727,0.0,0.9975585,-0.0,0.0,-0.06983674,0.0,0.0,-0.001,0,0
82898322,-0.0,-0.0,-0.13965173,0.0,0.9975632,-0.0,0.0,-0.06976913,0.0,0.0,-0.001,0,0
82951558,-0.0,-0.0,-0.13992621,0.0,0.9975536,-0.0,0.0,-0.06990604,0.0,0.0,-0.001,0,0
82993635,-0.0,-0.0,-0.13989519,0.0,0.99755466,-0.0,0.0,-0.069890566,0.0,0.0,-0.001,0,0
83046588,-0.0,-0.0,-0.13912117,0.0,0.99758166,-0.0,0.0,-0.06950451,0.0,0.0,-0.001,0,0
83099938,-0.0,-0.0,-0.13898359,0.0,0.9975864,-0.0,0.0,-0.06943588,0.0,0.0,-0.001,0,0
83152847,-0.0,-0.0,-0.13906288,0.0,0.9975837,-0.0,0.0,-0.069475435,0.0,0.0,-0.001,0,0
83195026,-0.0,-0.0,-0.13929726,0.0,0.9975755,-0.0,0.0,-0.069592334,0.0,0.0,-0.001,0,0
83247950,-0.0,-0.0,-0.13899587,0.0,0.997586,-0.0,0.0,-0.069442004,0.0,0.0,-0.001,0,0
83300858,-0.0,-0.0,-0.13928421,0.0,0.997576,-0.0,0.0,-0.069585815,0.0,0.0,-0.001,0,0
83343397,-0.0,-0.0,-0.13993043,0.0,0.99755347,-0.0,0.0,-0.06990815,0.0,0.0,-0.001,0,0
83396259,-0.0,-0.0,-0.13992822,0.0,0.9975535,-0.0,0.0,-0.069907054,0.0,0.0,-0.001,0,0
83449134,-0.0,-0.0,-0.13975112,0.0,0.9975597,-0.0,0.0,-0.06981871,0.0,0.0,-0.001,0,0
83502270,-0.0,-0.0,-0.14015009,0.0,0.9975457,-0.0,0.0,-0.07001772,0.0,0.0,-0.001,0,0
83544735,-0.0,-0.0,-0.14035037,0.0,0.99753875,-0.0,0.0,-0.0701176,0.0,0.0,-0.001,0,0
83597535,-0.0,-0.0,-0.14037569,0.0,0.99753785,-0.0,0.0,-0.07013023,0.0,0.0,-0.001,0,0
83650539,-0.0,-0.0,-0.13896464,0.0,0.9975871,-0.0,0.0,-0.069426425,0.0,0.0,-0.001,0,0
83693115,-0.0,-0.0,-0.13716105,0.0,0.9976493,-0.0,0.0,-0.06852677,0.0,0.0,-0.001,0,0
