timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
81343290,81343036,2490402,0.012910107,0.08609403,-0.007987213,30.766909,0,0,0,0,10
82343081,82342834,2490402,-0.07911938,0.015228331,0.081777334,30.694445,0,0,0,0,10
83341811,83341693,2490402,0.10887212,0.07757759,0.026253955,30.64278,0,0,0,0,9
84341841,84341594,2490402,0.07549548,0.2503082,0.04490559,30.646135,0,0,0,0,10
85343101,85342853,2490402,0.39662275,0.17781708,-0.03685176,30.85145,0,0,0,0,10
86343068,86342943,2490402,0.48935837,0.737808,-0.0004929556,30.730677,0,0,0,0,10
87343070,87342943,2490402,1.0364491,-2.695758,0.15137407,30.591787,0,0,0,0,10
88343377,88343235,2490402,-0.6529052,-0.5370163,0.28127334,30.751812,0,0,0,0,12
89343243,89343096,2490402,0.86528134,0.54384434,0.18294314,30.837358,0,0,0,0,12
90343091,90342945,2490402,1.2792494,2.4964473,-0.0110965045,30.736715,0,0,0,0,12
91343074,91342818,2490402,0.65353924,1.769151,0.57235473,30.603865,0,0,0,0,10
92341816,92341693,2490402,0.34747374,-0.40760767,0.52535075,30.815218,0,0,0,0,10
93343076,93342943,2490402,0.17226133,1.9872772,0.11406593,30.730677,0,0,0,0,10
94343074,94342820,2490402,-1.0906376,-0.4133366,0.23249517,30.748793,0,0,0,0,10
95343446,95343323,2490402,-0.6576943,2.2799854,0.0017576864,30.80918,0,0,0,0,10
96343304,96343158,2490402,0.18269333,0.7593292,0.1492523,30.938004,0,0,0,0,12
97343166,97343024,2490402,-1.8289703,0.71821016,-0.057701826,30.822262,0,0,0,0,12
98341815,98341568,2490402,-0.7683752,2.4513333,0.07781757,30.7186,0,0,0,0,10
99341817,99341694,2490402,1.0418819,-2.201156,0.1949434,30.978262,0,0,0,0,10
100343071,100342818,2490402,0.7983216,-0.1404124,0.29939726,30.821257,0,0,0,0,10
101343071,101342819,2490402,3.0837276,0.67500484,0.65673554,30.863527,0,0,0,0,10
102343124,102342867,2490402,0.080267675,2.7049727,0.19110844,30.821257,0,0,0,0,10
103343438,103343184,2490402,-1.9132873,-0.08409556,0.72661656,30.827295,0,0,0,0,10
104343322,104343074,2490402,-0.24948493,-3.061357,0.43675843,30.736715,0,0,0,0,10
105343074,105342821,2490402,-1.1639612,2.0793428,0.6197708,30.80314,0,0,0,0,10
106343076,106342818,2490402,-1.1292336,-2.7696877,0.54461646,30.766909,0,0,0,0,10
107341816,107341569,2490402,-0.69678944,-2.3960462,0.53039515,30.742754,0,0,0,0,10
