timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
86297285,86296856,0.18025938,-1.4621649,-9.113813
86350243,86349835,0.57176083,1.5828452,-10.395295
86397929,86397520,-0.55268323,0.7619176,-11.936922
86450996,86450582,1.8292694,-2.9485676,-10.298211
86498503,86498101,-1.884973,-0.7921894,-9.581723
86551583,86551172,0.09479297,1.6686451,-10.523814
86599236,86598808,0.19309528,0.8837942,-8.484223
86652208,86651794,0.0736189,-1.6618718,-11.243487
86699867,86699432,0.6505442,-0.3171986,-6.565951
86752774,86752369,-0.34624827,1.0565861,-7.8774652
86800466,86800040,-0.8289514,-1.9344152,-12.1001
86848179,86847734,0.36348727,-0.78981364,-14.888459
86901122,86900720,-1.4973705,0.53654724,-6.450074
86948788,86948381,0.5599479,-0.6218014,-9.380736
87001781,87001332,-2.1532762,-0.6389909,-8.8119955
87049435,87049012,1.5879387,-1.4659288,-16.74884
87102390,87101988,-0.9552201,3.6346345,-7.6294236
87150111,87149704,0.40168437,-0.29781446,-8.631593
87197762,87197359,-0.26274684,-1.2352825,-12.905347
87250740,87250319,0.28163308,-0.8963913,-8.314428
87298478,87298050,-0.7658619,-1.1983422,-7.440061
87351349,87350935,-0.570186,-2.1677423,-8.588566
87399097,87398686,-0.06404407,0.37159264,-16.345531
87452063,87451619,0.31620228,-0.5217541,-7.623162
87499757,87499351,-2.3493996,-0.6096032,-10.459397
87552646,87552235,-2.1387737,-1.1412377,-12.116609
87600342,87599920,0.8875435,0.4894703,-13.125957
87647988,87647562,-0.5246332,-0.88695914,-8.213784
87700989,87700581,-3.1630297,-0.096486546,-11.04406
87748672,87748264,-0.0033870544,-0.10131623,-10.113835
87801658,87801251,0.30063945,-0.27834302,-7.0527554
87849361,87848895,-0.60598224,0.29628912,-11.527656
87902246,87901844,-4.0648513,-2.3377254,-12.350402
87949959,87949551,-5.987673,2.9235036,-10.221641
87997675,87997238,-1.8125892,1.0285445,-7.5971036
88050601,88050180,1.0068307,-2.221454,-12.424136
88098291,88097870,-0.7379978,0.37167057,-9.206181
88151274,88150837,-0.28050336,-1.6011885,-7.9647083
88198904,88198497,-1.6793778,0.65614724,-10.578173
88251909,88251479,1.1471735,1.4061186,-10.844398
88299575,88299149,1.0198131,-1.4900596,-12.130018
88352499,88352095,0.45012683,-3.2437239,-13.472707
88400151,88399746,-1.0082976,-1.8210084,-17.0034
88447876,88447465,-0.34337643,-0.8110148,-17.901346
88500853,88500434,0.3634603,-1.0102583,-20.26349
88548533,88548127,-0.99216545,0.6376374,-19.988697
88601523,88601089,-0.95610356,-0.8403681,-17.646458
88649221,88648771,-0.3608553,-0.5884808,-19.716883
88702218,88701807,-0.3231304,-1.3477893,-19.716785
88749814,88749389,-0.6032449,-1.4993094,-18.997442
88797470,88797061,-0.41908416,-0.5178796,-17.475662
88850417,88850009,1.1657767,0.098999396,-16.090115
88898154,88897711,-1.5764849,0.06679546,-17.66948
88951102,88950687,-0.008842003,-0.21181571,-14.772556
88998811,88998407,0.38903582,0.72483605,-14.77529
89051756,89051329,-2.0535252,-0.029674793,-11.451343
89099455,89099033,0.8712316,1.2417486,-14.466945
89152401,89151973,-2.4055605,-0.29586682,-16.062195
89200022,89199615,1.2664846,-2.4797716,-10.943615
89247708,89247299,-1.9979619,0.99841666,-12.381992
89300749,89300296,-0.23989362,-0.67246825,-10.93437
89348486,89348085,1.7671689,0.51940274,-5.2275815
89401379,89400971,-0.97653043,0.6950005,-6.991898
89449085,89448654,1.2016177,-1.2361797,-6.1492643
89502056,89501615,0.6799657,-2.33309,-8.168114
89549750,89549332,-1.3630055,-1.6181082,-6.1376386
89597326,89596913,-0.1125108,-0.6741173,-6.352695
89650356,89649940,1.6792737,0.51229423,-9.626993
89698000,89697571,1.3400286,-2.555644,-8.973894
89751092,89750648,-0.68120724,-2.3074434,-4.407218
89798612,89798206,0.0021925694,1.6607552,-9.400558
89851652,89851235,-0.53483397,-0.13935064,-7.2536855
89899289,89898840,0.19510975,-0.6807833,-8.937182
89952266,89951850,0.03756656,1.5717865,-5.4272885
89999903,89999493,-0.4864502,1.5903567,-10.308651
90047643,90047219,-1.3117895,-0.053570263,-6.4925814
90100608,90100187,-0.891987,0.30210415,-6.8904
90148256,90147831,1.2939547,-2.467229,-3.982367
90201219,90200769,0.20228715,0.3725634,-8.5818815
90248919,90248512,-0.06800463,-0.34132862,-7.253061
90301906,90301456,0.76855123,-3.682963,-10.376392
90349546,90349117,0.7255866,-1.8762968,-2.679801
90397288,90396876,1.6864824,-0.2760471,-8.676961
90450155,90449725,-2.8891218,-1.628837,-10.134741
90497882,90497477,-0.14198472,-1.1438675,-9.4760275
90550804,90550386,0.8735029,-1.2346668,-5.0352144
90598547,90598109,-1.2383832,2.79355,-9.129895
90651530,90651120,-0.010256188,-0.6430774,-4.8691287
90699105,90698696,0.6869249,-1.2886597,-8.681465
90752226,90751807,-2.3157296,1.7926855,-3.3803713
90799829,90799423,0.91439044,-0.25377214,-10.852548
90852782,90852378,-1.3794508,-0.3757095,-4.714949
90900481,90900031,2.719187,-0.7868644,-10.514353
90948194,90947773,-2.3266554,0.20581321,-5.433904
91001061,91000657,-0.061956838,1.2542431,-10.6289
91048782,91048371,-0.45468622,1.0219104,-9.354924
91101687,91101283,-1.2574635,-2.1116388,-12.1873665
91149388,91148967,0.4541773,-1.3454585,-9.355473
91202377,91201950,0.7157131,1.2354364,-10.110868
91250066,91249660,-1.9253854,-1.2522718,-9.662922
91297730,91297327,0.36362588,-1.3993163,-9.534696
91350771,91350347,-1.7507194,0.11332604,-9.1177435
91398500,91398071,0.2869843,0.76043755,-8.73676
91451344,91450933,0.498124,-1.3798219,-7.85167
91499031,91498605,0.2296828,0.01030863,-6.926635
91551988,91551549,-1.1900315,0.6096051,-7.513481
91599753,91599317,0.72626173,0.6202467,-8.021779
91652579,91652176,-0.110563576,-2.455354,-11.3082905
91700324,91699921,-0.39627907,0.39419883,-6.521903
91748018,91747561,0.1969561,1.985258,-9.979782
91801032,91800618,-0.5447894,-0.8618477,-6.2324133
91848600,91848192,-0.23133191,-3.0859568,-9.527901
91901590,91901160,-2.5009215,1.0827546,-3.3031757
91949274,91948851,-0.08672049,0.4952265,-8.88644
92002251,92001848,-0.05350306,-0.44782522,-7.115836
92049927,92049519,1.9784834,-2.2221432,-8.556372
92097564,92097156,-2.397832,0.04154881,-4.8686657
92150560,92150134,1.5210165,1.0899279,-9.423628
92198234,92197817,-1.6665665,0.68678385,-7.189717
92251175,92250758,0.76448363,1.1598618,-9.139921
92298868,92298458,-0.33617577,1.8000692,-5.9220557
92351851,92351391,0.04690464,0.9682138,-9.205189
92399541,92399120,-0.10171636,-0.016347276,-8.052611
92452482,92452074,-0.6692773,-0.86838365,-11.093654
92500177,92499749,2.1310618,-1.8217214,-3.9057457
92547850,92547447,-1.137402,1.3469745,-10.979006
92600807,92600389,-2.0654733,0.3393047,-7.7031097
92648518,92648084,0.8977457,-0.4227022,-7.212896
92701465,92701054,-1.2104541,-2.0814111,-7.6102815
92749145,92748739,1.9016092,0.5830269,-7.7557993
