timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
89000502,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,nan,-0.008635068
89201762,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,nan,-0.00092034484
89382013,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,nan,-0.01395624
89583389,-1.4206171,0.20259412,nan,0.0,0.0,0.7161269,0.0,0.0,0.50796795,nan,nan,8.0,nan,-0.001485969
89795120,-1.4206171,0.20259412,nan,0.0,0.0,0.8843485,0.0,0.0,0.82980865,nan,nan,-8.0,nan,-0.00014012243
89996407,-1.4206171,0.20259412,nan,0.0,0.0,1.035774,0.0,0.0,0.655771,nan,nan,-8.0,nan,-1.4934935e-05
90197692,-1.4206171,0.20259412,nan,0.0,0.0,1.1683754,0.0,0.0,0.56565845,nan,nan,-8.0,nan,-1.5909499e-06
90398922,-1.4206171,0.20259412,nan,0.0,0.0,1.2830358,0.0,0.0,0.477683,nan,nan,-8.0,nan,-1.6965596e-07
90600274,-1.4206171,0.20259412,nan,0.0,0.0,1.3816578,0.0,0.0,0.411901,nan,nan,-8.0,-0.41246217,-1.8074642e-08
90801439,-1.4206171,0.20259412,nan,0.0,0.0,1.466835,0.0,0.0,0.33940342,nan,nan,-8.0,-0.42835933,-1.9283648e-09
91002796,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.42043537,-2.0539505e-10
91183260,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.4313777,-2.757771e-11
91395217,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.43627745,-2.591835e-12
91596488,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.44019622,-2.773997e-13
91797459,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.4423756,-2.9665964e-14
91998863,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.45619005,-3.1588933e-15
92200110,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.45304465,-3.3672373e-16
92401341,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.4583335,-3.5927253e-17
92602704,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.4651454,-3.8268605e-18
92782641,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.46250504,-5.167188e-19
92983898,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.46678758,-5.506958e-20
93195892,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.4735908,-5.1782787e-21
93397194,-1.4206171,0.20259412,nan,0.0,0.0,1.5,0.0,0.0,0.0,nan,nan,0.0,-0.48164684,-5.515536e-22
93598842,-1.4206171,0.20259412,nan,0.0,0.0,1.4779721,0.0,0.0,-0.593672,nan,nan,-8.0,-0.48192483,-5.854869e-23
93800319,-1.4206171,0.20259412,nan,0.0,0.0,1.2133912,0.0,0.0,-1.4592923,nan,nan,8.0,-0.486859,-6.229022e-24
94000990,-1.4206171,0.20259412,nan,0.0,0.0,1.0816286,0.0,0.0,0.14607309,nan,nan,8.0,-0.4778123,-6.6793193e-25
94202344,-1.4206171,0.20259412,nan,0.0,0.0,1.2732146,0.0,0.0,1.756905,nan,nan,8.0,-0.48541677,-7.112625e-26
94382401,-1.4206171,0.20259412,nan,0.0,0.0,1.4749016,0.0,0.0,0.40116614,nan,nan,-8.0,-0.45600078,-9.5931865e-27
94583711,-1.4206171,0.20259412,nan,0.0,0.0,1.4170319,0.0,0.0,-0.41756973,nan,nan,8.0,-0.47853437,-1.0226104e-27
94795603,-1.4206171,0.20259412,nan,0.0,0.0,1.357681,0.0,0.0,-0.29064688,nan,nan,8.0,-0.47569266,-9.622642e-29
94996894,-1.4206171,0.20259412,nan,0.0,0.0,1.3089685,0.0,0.0,-0.17002349,nan,nan,8.0,-0.47418407,-1.0258217e-29
95198137,-1.4206171,0.20259412,nan,0.0,0.0,1.2650425,0.0,0.0,-0.14429401,nan,nan,8.0,-0.46512875,-1.0940077e-30
95399677,-1.4206171,0.20259412,nan,0.0,0.0,1.2412742,0.0,0.0,-0.054683223,nan,nan,8.0,-0.46202597,-1.1624276e-31
95600789,-1.4206171,0.20259412,nan,0.0,0.0,1.2205019,0.0,0.0,-0.10864148,nan,nan,8.0,-0.48580196,-1.2408214e-32
95802039,-1.4206171,0.20259412,nan,0.0,0.0,1.1906624,0.0,0.0,-0.12950256,nan,nan,8.0,-0.48768458,-1.3228931e-33
95982126,-1.4206171,0.20259412,nan,0.0,0.0,1.1598822,0.0,0.0,-0.15208732,nan,nan,8.0,-0.48550943,-1.7833817e-34
