timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
80832473,80717537,3997730,-32.852604,0.10233748,0.26620865,12.4182005,0.0006340787
81341076,81224314,3997730,-32.820118,0.10236302,0.50284576,12.420057,0.0022620568
81839289,81731188,3997730,-32.786438,0.10221356,0.3228302,12.417825,0.00093252456
82347578,82237371,3997730,-32.75505,0.102241635,0.48620987,12.41977,0.002114908
82856019,82744959,3997730,-32.72484,0.10226777,0.56959534,12.4181,0.0029029206
83364620,83252251,3997730,-32.69693,0.102295294,0.24608612,12.416534,0.0005419152
83872976,83759881,3997730,-32.667427,0.10231886,0.23819351,12.418509,0.0005076307
84328537,84215984,3997730,-32.643375,0.10230666,0.17494202,12.419543,0.0002738042
84837186,84722599,3997730,-32.617332,0.10233112,0.2845955,12.417987,0.0007247068
85346026,85228581,3997730,-32.596302,0.10235762,0.4132843,12.420045,0.001528031
85843597,85735645,3997730,-32.542595,0.10220903,0.69919586,12.418083,0.00437422
86352354,86242280,3997730,-32.456856,0.10223801,1.5214615,12.419392,0.020709952
86860891,86748685,3997730,-32.35641,0.10226807,1.3145618,12.418628,0.015461298
87369118,87255053,3997730,-32.309975,0.102298684,0.61530304,12.417155,0.003387767
87771661,87661120,3997730,-32.26069,0.10225098,0.1570549,12.417217,0.00022071721
88333183,88218377,3997730,-32.23815,0.102317244,0.5105934,12.420327,0.0023322487
88841766,88724892,3997730,-32.20283,0.10234602,0.37670326,12.418896,0.0012696186
89340013,89232616,3997730,-32.216858,0.102197215,-0.41535187,12.420597,0.0015432894
89848217,89739962,3997730,-32.23594,0.10222548,-0.4302597,12.419219,0.0016562449
90356616,90246383,3997730,-32.247032,0.10225504,-0.26293182,12.417982,0.0006185756
90865261,90754196,3997730,-32.247463,0.10228031,-0.26542282,12.420213,0.00063023856
91373651,91260816,3997730,-32.24035,0.10230732,0.19129562,12.419049,0.0003274004
91829296,91717124,3997730,-32.22749,0.1022954,0.22063828,12.420275,0.00043549985
92337779,92225026,3997730,-32.20522,0.10232081,0.58688354,12.422507,0.003080719
92793318,92680960,3997730,-32.178997,0.102307424,0.7059765,12.420214,0.004458707
93355198,93238062,3997730,-32.14639,0.10237156,0.2500229,12.422651,0.000559117
93852699,93744896,3997730,-32.110966,0.10222286,0.6267357,12.4215975,0.003513572
94361293,94251352,3997730,-32.087658,0.102251396,0.34423256,12.420089,0.0010600752
94870036,94757969,3997730,-32.058537,0.102281354,0.7262058,12.422104,0.004717173
95272314,95164036,3997730,-32.029026,0.10223183,0.62766266,12.422111,0.0035238278
95780951,95670821,3997730,-32.003735,0.102262,0.77054596,12.420544,0.0053114602
96342826,96228226,3997730,-31.958597,0.10232866,0.59080887,12.423589,0.0031217951
96850976,96735423,3997730,-31.900291,0.10235486,1.1402836,12.421994,0.011630326
97359790,97242623,3997730,-31.832838,0.102382354,0.79927444,12.420475,0.0057149334
97857709,97749771,3997730,-31.778635,0.102229595,0.49424553,12.422048,0.0021849917
98365958,98257537,3997730,-31.719637,0.102254525,0.5724182,12.42061,0.002931173
98874513,98764165,3997730,-31.659939,0.10228155,0.28160095,12.422716,0.0007092661
99329995,99220067,3997730,-31.60527,0.10226891,0.5546379,12.423839,0.0027511914
99838561,99727114,3997730,-31.554075,0.10229384,0.863781,12.42237,0.006673602
100347088,100232969,3997730,-31.49436,0.102320775,0.7381382,12.424486,0.0048725293
100855657,100739917,3997730,-31.441284,0.10234885,0.9089718,12.423075,0.0073897406
101364892,101247110,3997730,-31.395098,0.10237803,0.6046524,12.42179,0.0032702794
101862097,101754100,3997730,-31.331093,0.10222938,0.6742344,12.423545,0.0040656854
102370424,102261301,3997730,-31.286633,0.1022583,0.8642597,12.422325,0.0066810255
102826082,102718277,3997730,-31.242744,0.102246776,1.4497013,12.423529,0.018796178
103334640,103224126,3997730,-31.197878,0.1022736,0.7195358,12.425688,0.004629583
103843432,103731303,3997730,-31.150204,0.102301806,0.52399445,12.424278,0.0024554986
104351789,104237194,3997730,-31.09825,0.10233147,0.45466232,12.4255905,0.0018484954
104860641,104743791,3997730,-31.051157,0.102361955,0.68221474,12.4251175,0.004161972
105358363,105250466,3997730,-31.009289,0.102214605,0.45521355,12.425971,0.0018529237
105866571,105757670,3997730,-30.971497,0.10224382,0.30636215,12.425512,0.0008392926
106375201,106264131,3997730,-30.912952,0.102274366,0.64809227,12.42424,0.0037563092
106830796,106721015,3997730,-30.853123,0.10226715,0.40215683,12.425444,0.001446227
107339712,107228230,3997730,-30.836569,0.102294795,0.19057083,12.427645,0.00032469942
